#NAME	SRR13061234	SRR13061235	SRR13061236	SRR13061237	SRR13061238	SRR13061239	SRR13061240	SRR13061241	SRR13061242	SRR24889334	SRR24889335	SRR24889336	SRR24889338	SRR24889339	SRR24889340	SRR24889341	SRR24889342	SRR24889343	SRR24889344	SRR24889345	SRR24889346	SRR24889347	SRR24889349	SRR24889350	SRR24889351
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_hongkongensis	0.001059643	0.000510812	0.001151642	0.001345167	0.001492717	0.00199963	0.001308358	0.00104695	0.000367539	0.000661147	0.002636331	0.000960961	0.000697757	0.000575801	0.001065907	0.000703187	0.00162214	0.000759984	0.000413887	0.000849081	0.000681083	0.002282877	0.000264724	0.005131121	0.001893256
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_howellii	0.000302755	7.49E-05	0.00011181	9.58E-05	0.000136431	0.000219959	0.00021806	0.000133697	0.000333508	7.40E-05	0.00025763	0.00018018	8.41E-05	8.34E-05	0.000195616	0.000144388	0.000196898	0.000104237	4.00E-05	7.62E-05	0.000113514	0.000307436	0.000200157	0.00035582	0.000268638
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_israelii	0	0.000143027	0.00022921	9.40E-05	0.00022471	1.00E-04	0.000319821	9.46E-05	0.000850786	7.99E-05	0.000627817	0.000780781	6.43E-05	0.000123102	0.000309392	0.000370658	0.000422574	0.000113713	2.28E-05	7.40E-05	0	0.000680284	6.03E-05	0.000315915	0.000194443
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_naeslundii	0.001362398	0.003657415	0.005109713	0.00106854	0.003290398	0.00167469	0.015725739	0.005469235	0.003498431	0.000215945	0.001615816	0.001021021	0.001162929	0.000293857	0.000868295	0.000410661	0.00040137	0.000653851	0.000570879	0.001010189	0.005221636	0.002559243	0.007481141	0.001446557	0.003556251
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris	0.001967908	0.003759578	0.006054507	0.001377712	0.003932426	0.001884651	0.017924508	0.006314612	0.003848955	0.000275108	0.002201112	0.001321321	0.001489539	0.00030577	0.001010016	0.000493794	0.000484673	0.00072966	0.000625112	0.001240965	0.005278393	0.003345822	0.009097464	0.001662709	0.004167722
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_pacaensis	0.003027551	0.000939894	0.005160028	0.001949046	0.00645239	0.001704685	0.005956664	0.001614648	0.011601315	0.006397746	0.006043052	0.003183183	0.001321285	0.004789078	0.003628873	0.003352795	0.009820686	0.00184405	0.00061084	0.005105373	0.001702707	0.007460234	0.000126981	0.003618056	0.002294933
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_qiguomingii	0	0.000102162	0.000122991	5.79E-05	0.000160507	7.00E-05	0.000127201	8.23E-05	0.00030288	3.92E-05	0.000290147	6.01E-05	3.46E-05	3.18E-05	0.00011178	0.00011626	0.0001348	6.63E-05	2.28E-05	3.92E-05	0.000113514	0.000266554	0.000126981	0.000146318	0.000176533
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_radicidentis	0.000151378	7.49E-05	0.000167715	9.94E-05	0.000216685	0.000164969	0.000225328	0.000178948	0.000289267	0.000107973	0.000397701	0.000540541	9.90E-05	9.93E-05	0.000245518	0.000194392	0.000280202	0.000147827	6.28E-05	0.000117565	5.68E-05	0.000359766	0.000200157	0.000475535	0.000268638
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_slackii	0.000151378	0.000115784	0.000190077	9.94E-05	0.000248786	0.00015997	0.000276209	0.000236541	0.000524084	7.62E-05	0.000382693	0.00018018	4.95E-05	8.74E-05	0.000231545	0.000164389	0.000252939	0.000111818	0.00011703	8.71E-05	0.000170271	0.000379389	0.000275485	0.000352494	0.000309573
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._2129	0	7.49E-05	8.39E-05	4.52E-05	9.63E-05	7.00E-05	0.00013447	9.26E-05	0.000234817	4.07E-05	0.000200101	0	3.96E-05	4.37E-05	7.98E-05	0.000113135	0.000139343	5.50E-05	4.00E-05	5.88E-05	0.000113514	0.000222401	8.82E-05	0.00011639	0.000127923
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._299	0	0.000102162	9.50E-05	4.88E-05	8.03E-05	8.00E-05	0.000178082	9.87E-05	0.000330105	3.48E-05	0.000232617	0.00018018	6.93E-05	5.96E-05	0.000125753	0.000113135	0.000165092	5.50E-05	3.43E-05	5.88E-05	0.000113514	0.000196236	0.000105459	0.000209501	0.000138157
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._Chiba101	0	0.000183892	0.000162124	8.68E-05	0.000537699	0.000154971	0.000149007	9.67E-05	0.000333508	0.000164178	0.000240121	0.00018018	0.000103921	6.35E-05	0.000149706	0.000158764	0.000193869	0.000149722	7.14E-05	4.35E-05	0.000113514	0.000273095	0.000269028	0.000236105	0.000266079
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._dk561	0.000151378	8.85E-05	0.000150943	7.05E-05	0.000160507	0.000144973	0.000192619	0.000106958	0.00035733	7.99E-05	0.000307655	0.00036036	9.40E-05	9.13E-05	0.000185635	0.000142513	0.000199928	8.72E-05	5.99E-05	5.23E-05	0.000170271	0.000297624	0.000107611	0.000209501	0.000209793
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_171	0.001967908	0.007185425	0.001923131	0.001486193	0.006476466	0.002499538	0.007788366	0.007421211	0.006183511	0.000698124	0.002413719	0.001981982	0.001529128	0.000524178	0.001980111	0.001192605	0.000869382	0.00150291	0.002588936	0.001541409	0.010045973	0.005646687	0.012863861	0.002507366	0.009857724
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_414	0.000302755	0.000606164	0.000665269	0.00056591	0.002921231	0.000764859	0.000941291	0.001622876	0.001538221	0.000230736	0.001275644	0.001201201	0.001118391	0.000555946	0.003201712	0.000962585	0.001002667	0.001665899	0.000639384	0.001101628	0.000567569	0.003012221	0.001228922	0.000801426	0.005122025
