#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
K03111	0.656915	1.403407	0	0.910569	0	10.059453	0	0	0	5.326681	33.274685	0.284553	0.778443	0	0	0	0	4.997485	0	20.753526	0	0	0	0	27.60923	0	0	13.5283051	0.868056	0	0	5.69763	0	0.996454	0	1.726951	9.529	1.38028	0	0.704225	11.007101	5.626947	0	1.3615	14.55822	15.25107	1.045804	0	0.204861	1.097042	0	0	0	5.4173973	0	11.42771	0	0.520833	0.180851	0.638211	8.134062	0.531915	0	0.569444	4.832812	0.386525	35.599904	3.477642	2.787171	0.958627	0	0	0	0	0	1.276409	0.920537	1.020211	6.7433105	16.622013	9.447955	16.211004	1.04167	1.757906	1.613947	1.281886	1.222781	0.219858	2.00205	21.51546	2.30685	12.530621	8.794938	2.231088	2.422975	0	0	3.410546	2.12766	0.704225	0	5.027873	0	0	0	0	2.783336	4.88141	1.379017	1.50347	1.06383	0.601507	0.699531	2.637261	0	0.520833	0	2.30159
K01939	3.890073	2.01876	0	5.114664	0	23.161884	0	4.760851	0.0835556	7.003658	4.232644	0.690667	0.748445	0	1.322666	0.857868	0	20.66574	0.7171885	27.971678	0	0	0	1.470222	4.233783	3.68006	0	3.4377936	0.330961	0	1.623755	0.5357737	4.578042	2.597052	1.101618	0.584049	2.907555	1.7394516	0.133333	1.7374562	16.646298	0.6877954	0	1.026666	36.484339	10.403291	2.673446	0	1.26278	5.480086	0	0.4791111	0.446809	1.964336	0.133333	26.953442	0	0.888478	0	5.025322	2.8849688	1.323555	0.820689	3.431129	8.692469	6.1764387	7.2590904	2.4808876	6.389141	2.626691	0	0.250667	0.232558	0	0.5245273	11.5465604	2.0110593	1.722161	8.949692	11.0973676	23.932404	31.511217	1.53778	10.33868	5.145208	7.8416733	30.3060311	15.999836	2.522556	15.8818	11.7949229	3.597068	1.92087	1.42785	1.423107	0.127111	0.133333	1.461644	0.266666	0.533333	1.126337	11.8068356	0.338666	0.120889	0	2.113931	4.06562	5.513214	0.4	0.482335	3.300378	1.386334	0.64958	8.246251	0	0.9777774	0	0.4198
K01870	10.2304265	1.3399442	0	7.9075336	0.833384	37.0387316	0	5.613886	0.1678181	17.4152038	12.1788826	2.4796768	7.0709094	0.729927	3.6026033	1.5336019	0	30.2824207	2.5059992	29.4042838	0.3796968	0	0.332226	12.4452033	3.6991286	1.8207815	0	7.7195101	3.1218939	0	0.5119452	0.8660794	6.5854206	4.7326044	0.064562	0.6574362	5.8367702	9.3063198	0	6.0365636	35.174583	2.7637928	0.511661	6.9926323	33.631805	9.8637292	7.4119654	0	1.4480418	6.4878052	0	2.7866884	0.0406712	2.1446665	0.5167812	22.1028068	0	0.5037054	0.8944305	28.3434838	4.7614001	3.1021766	1.5972804	10.5479762	27.9108591	6.5170642	10.0179389	2.1370006	23.6077863	9.0613593	0	0	1.6877557	1.9569061	0.6603201	8.6146799	1.5384796	1.3865492	16.1053534	24.5577527	32.5699073	62.9204072	13.9352522	22.9562432	14.11767	30.5500861	98.6863527	14.4665511	9.4625164	32.723758	21.268963	3.9198613	6.7652055	3.1708388	0.9396079	0.0426621	0.115741	3.1670426	1.2815521	0.7312419	0.664796	21.7787729	1.1162992	0.9010421	0.772201	5.0173802	12.331025	7.686371	1.9239764	1.6472842	19.1491796	3.3756805	1.7844386	6.8071926	0.574074	6.270571	0	1.0812123
K02437	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.685185	0	0	1.05556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01952	1.1011118	0.6791917	0	2.5750485	0.2690253	20.4374521	0	0.3683126	0	16.5309601	1.9980172	0.2218493	1.1962769	0	0.43309	1.2456517	0	16.7760047	0.245229	6.0288441	0	0	0.6921089	1.2638938	3.8587075	0.981999	0	1.5542705	0.328133	0	0.0454545	0.0451237	2.7370622	1.9881714	0.291121	0.111359	0.9584365	3.1761191	0	2.6292047	16.226069065	0.9076985	1.73611	8.335605	11.1843095	0.9497255	2.918845	0	1.6845086	7.584795	0	0.262727	0	0.1409444	0.373134	11.971052	0.0454545	0.2949021	0	6.7869236	0.9895426	0.7589784	0.6357826	1.6527689	5.3182615	0	2.5394342	1.42140215	7.3769056	2.0715315	0	0	3.220944	0	0.059312	0.3975456	0.734681	0.366965	4.2225457	11.7721425	25.1170491	29.02273235	2.4591783	10.7373136	0.5743553	7.0069285	23.6841069	7.529524	9.0317451	4.9594263	3.7917518	2.6669668	1.2147368	0.5411338	1.1746164	0.34965	0	1.340438	0.0454545	0.1231236	0	7.7353475	0.313419	0.176056	0.418262	1.3846531	1.9068717	3.9219412	2.078748	2.541052	1.109466	0.6624185	0.214274	11.1657881	0	1.58275	0.221115	2.059003
K03169	0.273208	0	0	0.5906	0	6.782293	0	0.23065	0	0.6445764	1.7507858	0.0424666	0	0	0	0.0773994	0	0.9904316	0.2064776	1.07213	0.162338	0	0	0.2002494	1.667879	0.136986	0	0.8521742	0	0	0	0	0.521815	0.232198	0	0.52356	0.197949	0	0	0.140449	1.266403	0.266185	0	0	0.614898	0.6206478	0	0	0	0.2917944	0	0.314465	0.08726	0.5481166	0	1.6072964	0	0.08726	0	0.602299	0.143688	0.150669	0	0.6630872	0.354424	0.4264394	0.96999	0.419013	0.142045	0.2709129	0	0	0	0	0.0773994	0.34904	1.418179	0.17452	0.5892554	1.3620204	1.66001	1.491016	0	0.24254	0.4182383	0	0.834317	0.08726	1.9578	2.008595	0.1616835	0	0.2219777	0.0773994	0.17452	0.0773994	0	0.635066	0.154283	0	0	0.781974	0	0.222222	0	0.08726	0.2001507	0.689432	0.0773994	0.161255	0	0.372647	0.153846	0.905064	0	0.1151238	0	0
K06131	0.117925	0	0	0	0	1.9184524	0	0.117925	0	0.475068	2.7983473	0	0.526363	0	0.361011	0.398987	0	5.318957	0	10.568734	0	0	0	1.11792	2.5909738	0.117925	0	1.3844918	0	0	0	0	2.068918	0.311321	0	0	1.3007434	0.498153	0	0	4.220815	0	0	0.3019987	5.84867	1.547318	0.934971	0	0	0.117925	0	0	0	0.117925	0	1.484901	0	0	0.0463836	0.726299	0.627603	0	0.180505	0.353774	1.16981	0.941824	3.840671	0.716044	0.2750197	0.117925	0	0	0	0	0	0.646074	0.254296	0.709091	0.352988	2.297595	3.5807259	4.404273	0	1.084768	1.659772	1.501723	3.46389	2.2289223	0.0424528	6.817615	2.224922	1.470485	1.094602	0.216981	0.117925	0	0	0	0.117925	0	0	1.5815339	0	0	0	0.180505	0.547478	0.590593	0.29843	0	0.634434	0.378132	0	1.404085	0	0.106918	0	0
K00648	10.372883	1.54138	0.117241	7.717236	1.622985	86.53079	0.0724138	18.170177	0.0965517	27.387511	10.678156	2.13908	8.787004	0	5.2804631	1.96437	1.034484	86.705914	2.7114945	171.4988977	0.332184	0	0	10.435306	15.348378	6.219716	0.172414	16.783914	3.643677	0	4.37456	1.21494	27.524415	11.2814908	2.29916	2.847525	7.462067	8.525474	0	7.1337789	34.6438123	3.004597	1.37931	8.740947	60.540546	18.367812	10.826446	0.344828	3.31528398	16.547309	0	7.95889	0	7.141571	1.7172405	130.0982166	0.167816	3.055049	0.6597699	20.802579	24.9089556	13.403531	5.708771	25.68168	30.164931	32.862653	13.4896579	12.979895	25.298093	7.381612	0	0	3.491866	0	3.76322	20.746865	3.739188	4.575718	30.973125	42.28346	106.33586	85.521792	22.380512	41.198945	23.756703	50.621538	43.420818	43.514305	9.420951	67.83563	23.72745	9.719309	8.8907226	3.65747	1.736782	0.172414	0.344828	2.017242	0.404598	0.61839	0	25.16781	1.033334	0.802299	2.198998	5.192674	2.789661	14.226433	2.970114	7.4556276	7.500637	4.612648	0.910346	14.786737	0.0793103	1.609196	0.172414	0.90083
K03979	2.967062	0.139216	0	2.245402	0	15.9834991	0	1.83738	0	2.071272	2.409204	0.864762	0.541177	0	1.1738818	4.209693	0	8.150188	2.117785	11.9001422	0	0	0.193137	11.3634999	3.569971	0.32466	0	1.438719	1.571265	0.275794	0	0.916174	4.622227	1.536351	1.22324	0	0.587384	0.358423	0	0.9636893	9.9215378	3.828998	0	0.993138	15.465626	7.0781371	1.464645	0	1.8365015	1.587115	0	0.705882	0	1.5225242	0.152905	12.747929	0	0.926511	0	1.383774	2.440342	2.850911	1.975939	1.3968575	4.32612	7.471431	2.994414	0.575048	2.853033	0.2380345	0	0	0.71782	0	0	6.48215	2.4833536	1.249008	2.727627	4.8471656	12.489191	12.197887	1.896079	2.3698	1.51268	2.546011	4.591549	3.553666	1.060938	8.0451008	3.367061	0.987899	1.551535	0.5901963	0.702905	0	0	1.183995	0	0.891026	0.0470588	3.207519	1.48589	0	0	3.519848	0.652031	5.284845	1.05634	2.2560272	5.011789	1.753313	0.454112	2.1680961	0	1.245694	0.119608	2.22071
K03574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.546296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5814	0	0	0	0	0	0	0	1.46099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.775194	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1.18605	0	0	0	0
