dataSet,var,Species,Method,Estimate,Std.Error,t.value,p.value,Zscore,direction,PlotValue,Text
118.stable,BSI,Schaalia_odontolytica,MASS::rlm,-23.1209240572723,18.4034531014575,-1.25633618483486,0.212743878958216,-1.24605588523486,-1,-1.24605588523486,NA
118.stable,BSI,Rothia_mucilaginosa,MASS::rlm,-11.5557587869354,10.7104412905397,-1.07892461883361,0.283946499487545,-1.07149593059016,-1,NA,NA
118.stable,BSI,Porphyromonas_gingivalis,MASS::rlm,0.369619394188133,2.9939049748682,0.123457289824105,0.902062568839265,0.123056232947818,1,NA,NA
118.stable,BSI,Prevotella_jejuni,MASS::rlm,5.90579531457213,7.68674008871835,0.768309484438004,0.444623282971604,0.764409443341527,1,NA,NA
118.stable,BSI,Prevotella_melaninogenica,MASS::rlm,-5.23643086183725,5.82686114416406,-0.898670953757297,0.371593798639625,-0.893491917344162,-1,NA,NA
118.stable,BSI,Staphylococcus_aureus,MASS::rlm,1.90989712200744,4.84574772513812,0.394138785248669,0.694554083954482,0.392682382972569,1,NA,NA
118.stable,BSI,Streptococcus_mitis,MASS::rlm,-3.86629811019602,9.82993023885702,-0.393318977474816,0.695156920706699,-0.391866413117583,-1,NA,NA
118.stable,BSI,Streptococcus_oralis,MASS::rlm,-15.0989961703807,19.8394407753456,-0.761059565204284,0.448916249291427,-0.75722303954391,-1,NA,NA
118.stable,BSI,Streptococcus_parasanguinis,MASS::rlm,-26.801657196976,37.5162711702377,-0.714400881563043,0.477111908211349,-0.710955344755488,-1,NA,NA
118.stable,BSI,Streptococcus_pneumoniae,MASS::rlm,-5.79479750300014,4.66621832242294,-1.24186163239597,0.218008840624236,-1.23184004654616,-1,-1.23184004654616,NA
118.stable,BSI,Streptococcus_salivarius,MASS::rlm,-17.0017448928847,24.368789943504,-0.69768523313226,0.487448628167362,-0.694372510970842,-1,NA,NA
118.stable,BSI,Streptococcus_sp._HSISM1,MASS::rlm,-11.6933659202781,52.5953155669257,-0.222327136822646,0.824640347268549,-0.221580649819593,-1,NA,NA
118.stable,BSI,Streptococcus_sp._LPB0220,MASS::rlm,-21.453328894878,47.520832419239,-0.451451033214488,0.652917249802135,-0.449713203302799,-1,NA,NA
118.stable,BSI,Streptococcus_sp._oral_taxon_431,MASS::rlm,-32.5852810087181,17.4648938117521,-1.86575889667257,0.065834747922887,-1.83954716122899,-1,-1.83954716122899,NA
118.stable,BSI,Veillonella_atypica,MASS::rlm,-5.38708850187502,10.5676959119595,-0.509769447072982,0.61165237287993,-0.507716218329071,-1,NA,NA
118.stable,BSI,Veillonella_dispar,MASS::rlm,-4.79948738595216,10.4480340460134,-0.459367510176085,0.647247987944188,-0.45758866582357,-1,NA,NA
118.stable,BSI,Veillonella_parvula,MASS::rlm,-16.1905066346627,12.6258904713658,-1.28232592159587,0.203526348890437,-1.27156885401283,-1,-1.27156885401283,NA
118.stable,BSI,Neisseria_subflava,MASS::rlm,-4.40309413335451,2.89131960317653,-1.52286662758316,0.131836229088306,-1.50690024329973,-1,-1.50690024329973,NA
118.stable,BSI,Haemophilus_influenzae,MASS::rlm,-1.13091101769307,1.69517351471858,-0.667135846492277,0.506654227127932,-0.664056379547758,-1,NA,NA
118.stable,BSI,Haemophilus_parainfluenzae,MASS::rlm,-8.28902029283356,5.99188620421064,-1.38337411798787,0.170496917667068,-1.37060886599044,-1,-1.37060886599044,NA
118.stable,BSI,Moraxella_catarrhalis,MASS::rlm,0.56460123905988,4.58330264173987,0.123186549785757,0.902276245044596,0.122786398668416,1,NA,NA
118.stable,BSI,Pseudomonas_aeruginosa,MASS::rlm,2.51819699006081,1.19849612367835,2.10113069229804,0.038858926590623,2.06567765449712,1,2.06567765449712,+
118.stable,BSI,Pseudomonas_tolaasii,MASS::rlm,42.5173058785626,33.7636139932446,1.2592640671425,0.211690368347774,1.24893084602386,1,1.24893084602386,NA
CAMEB2,BSI,Schaalia_odontolytica,MASS::rlm,-0.180138530707083,2.86320568080059,-0.0629149808953697,0.949885088341381,-0.0628510824356323,-1,NA,NA
CAMEB2,BSI,Rothia_mucilaginosa,MASS::rlm,-0.336099433697125,1.48761094296115,-0.225932348298074,0.821440877727188,-0.225692132311955,-1,NA,NA
CAMEB2,BSI,Porphyromonas_gingivalis,MASS::rlm,2.32154733931945,2.95947242717038,0.784446348614617,0.43352992083119,0.783165518173423,1,NA,NA
CAMEB2,BSI,Prevotella_jejuni,MASS::rlm,-0.0536634000014745,3.24445445113032,-0.0165400380278968,0.986816913082668,-0.0165233010399964,-1,NA,NA
CAMEB2,BSI,Prevotella_melaninogenica,MASS::rlm,-3.59323734472428,3.31545422297194,-1.08378433332834,0.279517210398477,-1.08140452342248,-1,NA,NA
CAMEB2,BSI,Staphylococcus_aureus,MASS::rlm,-1.52709508389832,2.5674252871958,-0.59479630878227,0.552524110545185,-0.593982062235722,-1,NA,NA
CAMEB2,BSI,Streptococcus_mitis,MASS::rlm,-3.07163008107132,1.99620352955485,-1.53873592326344,0.125148832900772,-1.53351573421924,-1,-1.53351573421924,NA
CAMEB2,BSI,Streptococcus_oralis,MASS::rlm,-5.87569226420291,3.28709523714048,-1.78750289855134,0.0750822184843903,-1.77996176375118,-1,-1.77996176375118,NA
CAMEB2,BSI,Streptococcus_parasanguinis,MASS::rlm,-4.6039855108337,3.60676792126582,-1.27648510004988,0.202982948622275,-1.27309890177528,-1,-1.27309890177528,NA
CAMEB2,BSI,Streptococcus_pneumoniae,MASS::rlm,-7.03532303779755,3.34827732842087,-2.10117691807673,0.0366389673893268,-2.08976441519857,-1,-2.08976441519857,-
CAMEB2,BSI,Streptococcus_salivarius,MASS::rlm,0.541029885845117,2.4701040707923,0.219031210969009,0.826806616453124,0.218799012110134,1,NA,NA
CAMEB2,BSI,Streptococcus_sp._HSISM1,MASS::rlm,-4.43748649815403,3.60923740712745,-1.22948035764867,0.220061639004054,-1.22636423399509,-1,-1.22636423399509,NA
CAMEB2,BSI,Streptococcus_sp._LPB0220,MASS::rlm,-3.0880126653139,3.60270110277311,-0.857138179722142,0.392199383209412,-0.855635579796984,-1,NA,NA
CAMEB2,BSI,Streptococcus_sp._oral_taxon_431,MASS::rlm,-4.87480320187132,3.68105439925204,-1.32429534398129,0.186629068196464,-1.32061709999547,-1,-1.32061709999547,NA
CAMEB2,BSI,Veillonella_atypica,MASS::rlm,-3.03482708996876,3.10419788470231,-0.977652586171965,0.329202733351061,-0.975721018796541,-1,NA,NA
CAMEB2,BSI,Veillonella_dispar,MASS::rlm,-3.59036157873165,4.1008505966299,-0.875516309148698,0.382143629506767,-0.873953404494213,-1,NA,NA
CAMEB2,BSI,Veillonella_parvula,MASS::rlm,-0.0952771834112895,3.08093207648122,-0.0309247919285865,0.975354491596107,-0.0308934775588023,-1,NA,NA
CAMEB2,BSI,Neisseria_subflava,MASS::rlm,-0.105013793598799,1.61072435797865,-0.0651966260264321,0.94807018328259,-0.0651303909927765,-1,NA,NA
CAMEB2,BSI,Haemophilus_influenzae,MASS::rlm,-2.77638811437355,0.930477392366933,-2.98383188796346,0.00313203568687534,-2.95447298979798,-1,-2.95447298979798,-
CAMEB2,BSI,Haemophilus_parainfluenzae,MASS::rlm,-2.07689789851795,2.59210279750704,-0.801240560565507,0.423762479525645,-0.799910800790636,-1,NA,NA
CAMEB2,BSI,Moraxella_catarrhalis,MASS::rlm,-0.882074315645461,2.03482390480479,-0.433489263401435,0.665037705298764,-0.432968429795483,-1,NA,NA
