PC1,PC2,Group,group_metaG,grp.color
-70.7217657605696,33.0813055356865,Health,Commensal,Health
-129.457667320309,-22.3256054031695,Health,PPM,Health
-144.739265495338,-40.7430640653196,Health,Commensal,Health
-148.381011670555,-32.3656330273116,Health,Commensal,Health
-138.748309191967,-28.0720153343826,Health,Commensal,Health
-126.093899615929,-21.7753209857307,Health,Commensal,Health
-131.422421974096,-25.2867794973874,Health,Commensal,Health
-153.440367306767,-37.8311026604787,Health,Commensal,Health
33.7884946199835,-17.9232389112687,Stable,Pa,Stable-Pa
47.9493800540293,-29.5176774125716,Stable,Hi,Stable-Hi
34.7789540625171,-19.5226379336287,Stable,Pa,Stable-Pa
45.4441157890982,-30.973205380191,Stable,Pa,Stable-Pa
19.9136583351553,-6.86263380109953,Stable,Pa,Stable-Pa
-117.312253501486,-12.4667868638816,Stable,PPM,Stable-PPM
32.2993830817467,-10.5728032566926,Stable,Pa,Stable-Pa
37.1578284548169,-17.2154150483164,Stable,Pa,Stable-Pa
-58.3553079182863,30.8412400968745,Stable,Commensal,Stable-Commensal
38.0499925816447,-21.4484369292591,Stable,Pa,Stable-Pa
45.5753070512781,-35.7899043648407,Stable,PPM,Stable-PPM
41.0848637990243,-23.4964503336772,Stable,Hi,Stable-Hi
36.0305586128604,-14.8148202139424,Stable,Pa,Stable-Pa
45.774853675308,-30.6119841358802,Stable,Pa,Stable-Pa
43.8107748404382,-31.4332175786799,Stable,Pa,Stable-Pa
35.8036404059797,-12.8241673762225,Stable,Hi,Stable-Hi
16.3255184687832,12.9749423312808,Stable,Pa,Stable-Pa
35.2312745373906,-19.6360489934496,Stable,PPM,Stable-PPM
24.3988656390497,2.8690958534527,Stable,PPM,Stable-PPM
41.2429372170061,-28.4024442360659,Stable,Pa,Stable-Pa
19.3105861298731,14.8211763559057,Stable,Commensal,Stable-Commensal
38.4150361051357,-26.7189174407261,Stable,PPM,Stable-PPM
35.4211756861376,-16.0246708988962,Stable,Pa,Stable-Pa
32.6164809172833,-12.5414869447298,Stable,Commensal,Stable-Commensal
-19.554778609951,38.3580606571178,Stable,PPM,Stable-PPM
10.723991088771,9.58554047854963,Stable,Commensal,Stable-Commensal
17.1688931173577,7.72812799861982,Stable,Pa,Stable-Pa
27.8444378251549,-15.2575625915099,Stable,Pa,Stable-Pa
10.975023355185,17.8628259375148,Stable,Pa,Stable-Pa
-36.1414719697686,29.7324157196577,Stable,PPM,Stable-PPM
23.6183511595832,0.513713328093197,Stable,Pa,Stable-Pa
36.5415879824822,-15.0769433080949,Stable,Hi,Stable-Hi
34.8116894051545,-17.4907988564053,Stable,Commensal,Stable-Commensal
28.5423867786785,-2.50896228697092,Stable,Pa,Stable-Pa
-1.85641224286754,40.6337870219119,Stable,PPM,Stable-PPM
32.5178801117617,-8.49907766604539,Stable,Pa,Stable-Pa
15.1467656925883,17.2982045808333,Stable,Hi,Stable-Hi
-18.2131755691,29.2331882759727,Stable,PPM,Stable-PPM
24.6567251161828,-9.20241124264796,Stable,PPM,Stable-PPM
34.9311992291899,-19.4962607911004,Stable,PPM,Stable-PPM
34.5358472141726,-17.8153677288529,Stable,Pa,Stable-Pa
-97.4859078080566,-0.475418309132622,Stable,Commensal,Stable-Commensal
3.09132476923617,18.6427435310839,Stable,PPM,Stable-PPM
-2.24991236791267,26.2661418113216,Stable,PPM,Stable-PPM
-3.24119468373046,27.3297950081001,Stable,Hi,Stable-Hi
-25.1671799245852,20.3464420809895,Stable,Pa,Stable-Pa
-0.797482539782751,23.6886870667447,Stable,PPM,Stable-PPM
31.5097100908558,-0.130170825794945,Stable,PPM,Stable-PPM
36.5108691764998,-16.8851647077882,Stable,Pa,Stable-Pa
25.272242450588,1.87333386329711,Stable,Pa,Stable-Pa
17.5625751536599,11.6246462099747,Stable,Commensal,Stable-Commensal
-51.4033672654804,44.1675883743035,Stable,PPM,Stable-PPM
23.9079658813151,-1.22584009689791,Stable,Pa,Stable-Pa
35.4684603516385,-5.18732666424231,Stable,Hi,Stable-Hi
20.4534644608492,7.10696162423641,Stable,Pa,Stable-Pa
19.4557304469228,7.82967694784079,Stable,Pa,Stable-Pa
7.70481629115552,19.8297730719916,Stable,Commensal,Stable-Commensal
-29.5901795843834,38.1944090201932,Stable,PPM,Stable-PPM
1.61021433450543,15.2687527943799,Stable,Commensal,Stable-Commensal
-4.60844037670373,14.416023008829,Stable,Pa,Stable-Pa
-0.0573742492610091,25.3268090857927,Stable,Pa,Stable-Pa
13.4782765754328,12.0871717302188,Stable,Pa,Stable-Pa
29.5330291711925,-13.9819028333255,Stable,Pa,Stable-Pa
18.1148910049532,9.04365892475274,Stable,Pa,Stable-Pa
-8.52423701086627,23.218031719933,Stable,Commensal,Stable-Commensal
-1.12182433034215,28.175989263302,Stable,Hi,Stable-Hi
21.9089358132916,0.998034343570569,Stable,Pa,Stable-Pa
27.6001248775974,0.314953829592193,Stable,Commensal,Stable-Commensal
22.6075538513543,2.75742197539641,Stable,Pa,Stable-Pa
-4.19838466835865,39.9798440518031,Stable,Commensal,Stable-Commensal
21.7588638313317,6.50031020227529,Stable,Commensal,Stable-Commensal
15.2031458512048,9.62106084897785,Stable,Pa,Stable-Pa
35.8037025392209,-10.8597067923734,Stable,Hi,Stable-Hi
10.5485206787098,15.3814702753114,Stable,Pa,Stable-Pa
-28.6592827858648,45.7660288932999,Stable,Commensal,Stable-Commensal
