dataSet,var,Species,Method,Estimate,Std.Error,t.value,p.value,Zscore,direction,PlotValue,Text
118.stable,FEV1pred_perc,Schaalia_odontolytica,MASS::rlm,160.764202874756,99.5351700074246,1.61514972911348,0.110316410913682,1.59677257672226,1,1.59677257672226,NA
118.stable,FEV1pred_perc,Rothia_mucilaginosa,MASS::rlm,101.309453948774,58.5506010871932,1.73028887949254,0.0875335153423836,1.70855443308386,1,1.70855443308386,NA
118.stable,FEV1pred_perc,Porphyromonas_gingivalis,MASS::rlm,10.4931265303698,15.8102429512962,0.663691668919578,0.508844654050622,0.660637749467155,1,NA,NA
118.stable,FEV1pred_perc,Prevotella_jejuni,MASS::rlm,31.3382742559636,42.4293333233094,0.738599261439428,0.462367058633508,0.734954740328833,1,NA,NA
118.stable,FEV1pred_perc,Prevotella_melaninogenica,MASS::rlm,52.0085198724525,32.7736802851504,1.58689898174229,0.116581401439512,1.56928562014843,1,1.56928562014843,NA
118.stable,FEV1pred_perc,Staphylococcus_aureus,MASS::rlm,0.0145492712569437,26.2424484092566,0.000554417447261196,0.99955905441714,0.00055264336091617,1,NA,NA
118.stable,FEV1pred_perc,Streptococcus_mitis,MASS::rlm,12.0554744954765,53.6761946755551,0.224596295775913,0.822880665316972,0.223841463413511,1,NA,NA
118.stable,FEV1pred_perc,Streptococcus_oralis,MASS::rlm,-1.63127025669439,108.920581367304,-0.0149766943603927,0.988089015658898,-0.0149287595689644,-1,NA,NA
118.stable,FEV1pred_perc,Streptococcus_parasanguinis,MASS::rlm,368.577095052364,190.844622071005,1.93129411273236,0.057079535434625,1.90270127542587,1,1.90270127542587,NA
118.stable,FEV1pred_perc,Streptococcus_pneumoniae,MASS::rlm,25.0778607732928,25.208363966811,0.994823020101975,0.322898557191381,0.988518952441229,1,NA,NA
118.stable,FEV1pred_perc,Streptococcus_salivarius,MASS::rlm,135.326625976996,133.971511045331,1.01011494847742,0.315563497413585,1.00361650195893,1,NA,NA
118.stable,FEV1pred_perc,Streptococcus_sp._HSISM1,MASS::rlm,522.118878290975,278.354590196749,1.87573295601817,0.0644335456057486,1.84916808491211,1,1.84916808491211,NA
118.stable,FEV1pred_perc,Streptococcus_sp._LPB0220,MASS::rlm,486.374442470452,255.805346545988,1.9013458828665,0.060949858601296,1.87385902325066,1,1.87385902325066,NA
118.stable,FEV1pred_perc,Streptococcus_sp._oral_taxon_431,MASS::rlm,73.6439612848046,101.004637175367,0.729114655963187,0.468115242170671,0.72554908724715,1,NA,NA
118.stable,FEV1pred_perc,Veillonella_atypica,MASS::rlm,84.1432246957543,58.1003609071157,1.44823927738199,0.151558113998231,1.434049582522,1,1.434049582522,NA
118.stable,FEV1pred_perc,Veillonella_dispar,MASS::rlm,124.452860876894,55.5819586491304,2.23908735679003,0.0279996179019554,2.19729173015363,1,2.19729173015363,+
118.stable,FEV1pred_perc,Veillonella_parvula,MASS::rlm,140.462388572759,69.357316203507,2.02519930501084,0.0462681167739661,1.99293909418022,1,1.99293909418022,+
118.stable,FEV1pred_perc,Neisseria_subflava,MASS::rlm,22.9757952556931,16.8705233510149,1.36188989384914,0.177153088177103,1.34957269322511,1,1.34957269322511,NA
118.stable,FEV1pred_perc,Haemophilus_influenzae,MASS::rlm,-10.562470023597,9.65007322333223,-1.0945481737961,0.277083123663156,-1.08689520956244,-1,NA,NA
118.stable,FEV1pred_perc,Haemophilus_parainfluenzae,MASS::rlm,36.2273833261919,34.8575924592642,1.03929677210291,0.301877712700964,1.03241507538174,1,NA,NA
118.stable,FEV1pred_perc,Moraxella_catarrhalis,MASS::rlm,-60.9142903718331,24.64429286481,-2.47174024046815,0.0156241511601265,-2.41757878743651,-1,-2.41757878743651,-
118.stable,FEV1pred_perc,Pseudomonas_aeruginosa,MASS::rlm,-2.17367581151422,6.87888280194036,-0.315992563632729,0.75285216865859,-0.314880788600849,-1,NA,NA
118.stable,FEV1pred_perc,Pseudomonas_tolaasii,MASS::rlm,-41.2056593317902,178.468783061225,-0.230884408046053,0.818009143573696,-0.230106333428165,-1,NA,NA
CAMEB2,FEV1pred_perc,Schaalia_odontolytica,MASS::rlm,13.8399236090925,17.7796245503838,0.778414840531251,0.437069537082151,0.777151255177625,1,NA,NA
CAMEB2,FEV1pred_perc,Rothia_mucilaginosa,MASS::rlm,8.20683685282209,9.30645478413446,0.881843520780116,0.378718777729051,0.880259443638934,1,NA,NA
CAMEB2,FEV1pred_perc,Porphyromonas_gingivalis,MASS::rlm,-36.1653687591201,18.2292637053326,-1.98391823957984,0.0483719765057993,-1.97408589847289,-1,-1.97408589847289,-
CAMEB2,FEV1pred_perc,Prevotella_jejuni,MASS::rlm,34.3587683249186,20.0719088529621,1.71178379578224,0.0881917252448433,1.70501447268539,1,1.70501447268539,NA
