SampleID	Group	PCoA1	PCoA2
1072PBRIDGE	PAD	-0.643800676052007	0.257031433726758
1006BRIDGE	PPMD	-0.0293284243743355	0.221566770983671
1071PBRIDGE	PAD	-0.644357850264971	0.278126234646337
1070PBRIDGE	NPD	0.135237544978719	0.0160904358628709
1069PBRIDGE	NPD	0.153953924676282	0.0347275657414816
1068PBRIDGE	HID	-0.277502137874917	-0.574238804328419
1067PBRIDGE	PPMD	-0.219696444046521	-0.0942683364149735
1066PBRIDGE	PAD	-0.610250984082287	0.259944467960325
1065PBRIDGE	PAD	-0.64727325941476	0.275063096784508
1063PBRIDGE	PAD	-0.180375182241881	0.224180419801762
1062PBRIDGE	NPD	0.221277209051682	0.0599177180455754
1061PBRIDGE	PAD	-0.619479362964955	0.275088912259111
1005BRIDGE	NPD	0.111552334680871	-0.00301298310989675
1060PBRIDGE	NPD	0.217697271581634	0.0743819609765825
1059PBRIDGE	NPD	0.199126656034804	0.0514524636958244
1058PBRIDGE	HID	-0.32654978406023	-0.653044800556976
1057PBRIDGE	PPMD	-0.330592966640301	0.0268248243459563
1055BRIDGE	PAD	-0.664352260062247	0.276875414818359
1054BRIDGE	NPD	0.175982899310963	0.0401920677756522
919BRIDGE	NPD	0.220170759467208	0.0700626182551264
1037BRIDGE	PPMD	-0.240185023910423	-0.221923348880332
918BRIDGE	PPMD	-0.214220663413815	-0.0881268359772511
917BRIDGE	HID	-0.111149159300461	-0.429160355495314
916BRIDGE	NPD	0.230906188003941	0.0677097775409618
915BRIDGE	NPD	0.183942079513527	0.0562474950818564
914BRIDGE	NPD	0.1371805638637	0.0409685484799013
913BRIDGE	PPMD	-0.0821993517589402	-0.0510954394467403
911BRIDGE	HID	-0.336773966390098	-0.663999091547837
90GREEK	PAD	-0.499180758593062	0.283480315449719
908BRIDGE	NPD	0.203199125234257	0.0418746335726831
907BRIDGE	PAD	-0.652555281330652	0.272361664380124
1036BRIDGE	NPD	0.208177466843069	0.0445436047277782
906BRIDGE	NPD	0.266591813844159	0.0748852413586211
905BRIDGE	PPMD	0.0848326975620456	-0.20974831535753
904BRIDGE	PPMD	0.115554298686408	-0.00890299416431517
903BRIDGE	PPMD	0.111743323222921	-0.238623682227717
902BRIDGE	NPD	-0.0645413304807029	-0.0425684552351889
901BRIDGE	NPD	0.184132656531852	0.0727969870135591
89GREEK	HID	-0.667477952376227	0.276103926749448
899BRIDGE	NPD	-0.0220417038060817	-0.024643342639996
898BRIDGE	NPD	0.143261795482692	0.118128940032283
897BRIDGE	PPMD	0.0932954248929369	0.0118080128782418
1035BRIDGE	NPD	0.174463945279954	0.0366530482692232
896BRIDGE	NPD	0.218760687255989	0.0495419250185025
895BRIDGE	NPD	0.147602354454996	0.0459306907065437
894BRIDGE	NPD	0.145110266651027	0.0280944975824941
893BRIDGE	NPD	0.245969364173099	0.0763529928983179
892BRIDGE	PPMD	0.133361440499601	0.0335897897466774
891BRIDGE	NPD	0.253962066142236	0.0804668832958904
890BRIDGE	NPD	0.214389300923523	0.0565728904494347
88GREEK	NPD	0.260293440596642	0.0773815774499561
976BRIDGE	PPMD	0.0915643607329499	-0.244478431803274
975BRIDGE	HID	-0.334913111224292	-0.660826629124969
974BRIDGE	NPD	0.198977664182798	0.0684229901270532
973BRIDGE	HID	-0.1229454632556	-0.520375619986271
972BRIDGE	NPD	0.185110297590894	0.0794869822844666
971BRIDGE	NPD	0.0208435839373755	-0.00978338283571026
970BRIDGE	NPD	0.194684217164415	0.0555108734424193
969BRIDGE	NPD	0.17510960442571	0.0358087846390872
