dataSet,var,Species,Method,Estimate,Std.Error,t_value,p_value,OR,CI_low,CI_high,Zscore,direction,PlotValue,Text
118.stable,MMRC,Schaalia_odontolytica,MASS::polr,-15.2121469205524,9.12468723493229,-1.66714173635622,0.0954862248109475,2.47427823286587e-07,4.23156171082882e-15,14.4675965801637,-1.66714173635622,-1,-1.66714173635622,NA
118.stable,MMRC,Rothia_mucilaginosa,MASS::polr,-9.92033723591534,5.5477774360776,-1.78816424238699,0.0737495134348923,4.91645739289498e-05,9.31913417840254e-10,2.59375526024405,-1.78816424238699,-1,-1.78816424238699,NA
118.stable,MMRC,Porphyromonas_gingivalis,MASS::polr,0.595655402876047,1.35935918531816,0.438188382665493,0.661249729347792,1.81421960013731,0.126357556302985,26.0482463718288,0.438188382665493,1,NA,NA
118.stable,MMRC,Prevotella_jejuni,MASS::polr,-6.66845485449013,4.05731673611442,-1.64356279980161,0.100266543360642,0.00127036012655717,4.47025797644926e-07,3.61011570170769,-1.64356279980161,-1,-1.64356279980161,NA
118.stable,MMRC,Prevotella_melaninogenica,MASS::polr,-3.90226670587741,2.99874476357492,-1.30130004836603,0.193155770693199,0.0201960809479125,5.65888583364204e-05,7.20780905721368,-1.30130004836603,-1,-1.30130004836603,NA
118.stable,MMRC,Staphylococcus_aureus,MASS::polr,-0.712783138546603,2.17157118672706,-0.328233834977748,0.742734867081851,0.490277785882168,0.00695020269976767,34.58493481601,-0.328233834977748,-1,NA,NA
118.stable,MMRC,Streptococcus_mitis,MASS::polr,-5.02805843520997,5.13694553372231,-0.97880314326918,0.327677256325034,0.0065515184274933,2.77821595560291e-07,154.496246482285,-0.97880314326918,-1,NA,NA
118.stable,MMRC,Streptococcus_oralis,MASS::polr,-7.89981832176434,10.7674740826957,-0.733674236045762,0.463147304421277,0.000370810902610333,2.53432284888884e-13,542554.101009571,-0.733674236045762,-1,NA,NA
118.stable,MMRC,Streptococcus_parasanguinis,MASS::polr,-35.3991215092537,18.6303836918511,-1.900074743213,0.0574233116548151,4.23016068210971e-16,5.86334589427158e-32,3.05188534313646,-1.900074743213,-1,-1.900074743213,NA
118.stable,MMRC,Streptococcus_pneumoniae,MASS::polr,-2.52600989678727,2.53953829125919,-0.994672892108584,0.31989538280677,0.0799775029655005,0.000551199643511048,11.6045085585554,-0.994672892108584,-1,NA,NA
118.stable,MMRC,Streptococcus_salivarius,MASS::polr,-11.8060914108212,11.4103071928154,-1.03468655237039,0.300815318230156,7.45898351689648e-06,1.44613406472474e-15,38472.5292505461,-1.03468655237039,-1,NA,NA
118.stable,MMRC,Streptococcus_sp._HSISM1,MASS::polr,-45.5606170981899,25.2612774654436,-1.80357534018282,0.071297904789215,1.63408785478554e-20,5.13850803525564e-42,51.965338943461,-1.80357534018282,-1,-1.80357534018282,NA
118.stable,MMRC,Streptococcus_sp._LPB0220,MASS::polr,-44.2036085247829,23.3094937415297,-1.8963778885522,0.0579100935661163,6.34770503074361e-20,9.15249906376031e-40,4.4024434066179,-1.8963778885522,-1,-1.8963778885522,NA
118.stable,MMRC,Streptococcus_sp._oral_taxon_431,MASS::polr,-17.8933404451041,10.207168160363,-1.75301711150291,0.0795990699299679,1.69441966020892e-08,3.47267141270892e-17,8.26757744598383,-1.75301711150291,-1,-1.75301711150291,NA
118.stable,MMRC,Veillonella_atypica,MASS::polr,-9.43010153636956,5.33197439337488,-1.76859467819026,0.0769615395137835,8.02710490917053e-05,2.32259831667946e-09,2.77423835021757,-1.76859467819026,-1,-1.76859467819026,NA
118.stable,MMRC,Veillonella_dispar,MASS::polr,-7.97363400894927,5.27251089713681,-1.51230299273147,0.130456800070607,0.000344425065125379,1.11976099870289e-08,10.5941022793292,-1.51230299273147,-1,-1.51230299273147,NA
118.stable,MMRC,Veillonella_parvula,MASS::polr,-11.881545687611,6.50393118151884,-1.82682524707102,0.0677260485731562,6.91688048035507e-06,2.01258398601158e-11,2.37720442535816,-1.82682524707102,-1,-1.82682524707102,NA
118.stable,MMRC,Neisseria_subflava,MASS::polr,-2.37639834593638,1.4678353497536,-1.61898154744351,0.105451233431995,0.0928845136742122,0.00523021565940173,1.64955585817694,-1.61898154744351,-1,-1.61898154744351,NA
118.stable,MMRC,Haemophilus_influenzae,MASS::polr,1.52979753335733,0.804430564322741,1.90171482935296,0.0572084461034984,4.61724189019277,0.954223459411457,22.3416459344858,1.90171482935296,1,1.90171482935296,NA
118.stable,MMRC,Haemophilus_parainfluenzae,MASS::polr,-3.679687647251,2.90814280634131,-1.26530500470174,0.2057620132199,0.0252308545313132,8.44337960331142e-05,7.53958782251862,-1.26530500470173,-1,-1.26530500470173,NA
118.stable,MMRC,Moraxella_catarrhalis,MASS::polr,3.6107771997921,2.68664065127822,1.34397475080048,0.178956551864847,36.9947939907561,0.191103193617547,7161.65311793523,1.34397475080048,1,1.34397475080048,NA
118.stable,MMRC,Pseudomonas_aeruginosa,MASS::polr,0.139217650161216,0.580998664741588,0.239617848731436,0.810626526545755,1.14937423426912,0.368056504487079,3.58928891161087,0.239617848731436,1,NA,NA
118.stable,MMRC,Pseudomonas_tolaasii,MASS::polr,-2.01231990512549,16.0594807768353,-0.125304169735558,0.90028275123213,0.133678193937852,2.85894466011503e-15,6250509072031.83,-0.125304169735558,-1,NA,NA
CAMEB2,MMRC,Schaalia_odontolytica,MASS::polr,-1.13037797358976,1.33162484479448,-0.848871195223325,0.395952968620087,0.322911181454721,0.023746628646458,4.39100777886787,-0.848871195223325,-1,NA,NA
CAMEB2,MMRC,Rothia_mucilaginosa,MASS::polr,-0.348092374479761,0.697785808848436,-0.498852756914363,0.617883118030977,0.706033653710528,0.179832857532047,2.77192681589352,-0.498852756914363,-1,NA,NA
CAMEB2,MMRC,Porphyromonas_gingivalis,MASS::polr,-1.58629381640723,1.24623822557789,-1.27286563985121,0.203065723837016,0.204682799762778,0.0177943221181346,2.35440542441532,-1.27286563985121,-1,-1.27286563985121,NA
CAMEB2,MMRC,Prevotella_jejuni,MASS::polr,-2.82170139839391,1.51146847379544,-1.86686090203942,0.0619210150182797,0.0595046154771849,0.00307600017391102,1.15110502694987,-1.86686090203942,-1,-1.86686090203942,NA
CAMEB2,MMRC,Prevotella_melaninogenica,MASS::polr,-2.95057984623477,1.55621307268829,-1.89599991030648,0.0579600563864056,0.0523093657641802,0.00247701413751953,1.10466456577873,-1.89599991030648,-1,-1.89599991030648,NA
CAMEB2,MMRC,Staphylococcus_aureus,MASS::polr,0.783187334770276,1.30126448603494,0.60186637165263,0.547263090497561,2.1884364405833,0.170803041190835,28.039629863042,0.60186637165263,1,NA,NA
CAMEB2,MMRC,Streptococcus_mitis,MASS::polr,-0.67304774844271,0.915810869262707,-0.734920026647599,0.462388200939356,0.510151392924702,0.08475385315088,3.07070928373846,-0.734920026647599,-1,NA,NA
CAMEB2,MMRC,Streptococcus_oralis,MASS::polr,-0.961530267670878,1.49553888978006,-0.642932306369034,0.520268025514867,0.382307405455503,0.0203895527559023,7.16832556436574,-0.642932306369033,-1,NA,NA
CAMEB2,MMRC,Streptococcus_parasanguinis,MASS::polr,0.22889804346319,1.65968287438479,0.137916735176313,0.890306224044111,1.25721385130485,0.0486054013146811,32.5187453484799,0.137916735176313,1,NA,NA
CAMEB2,MMRC,Streptococcus_pneumoniae,MASS::polr,-1.55640514655535,1.50887585193809,-1.03149980467658,0.302306499766408,0.210892838999856,0.0109573208701729,4.05900220212472,-1.03149980467658,-1,NA,NA
CAMEB2,MMRC,Streptococcus_salivarius,MASS::polr,-0.527297008075282,1.17766230583354,-0.447748905151605,0.6543344223824,0.590198116319515,0.0586907753559226,5.93506925738633,-0.447748905151605,-1,NA,NA
CAMEB2,MMRC,Streptococcus_sp._HSISM1,MASS::polr,1.94133463582313,1.62749459453639,1.19283630332188,0.232933489243954,6.9680445693723,0.286935979944267,169.214209839385,1.19283630332188,1,1.19283630332188,NA
CAMEB2,MMRC,Streptococcus_sp._LPB0220,MASS::polr,1.74922935834922,1.64107604300966,1.06590390238176,0.286467084761482,5.75016964785734,0.230565433184985,143.405932634368,1.06590390238176,1,NA,NA
CAMEB2,MMRC,Streptococcus_sp._oral_taxon_431,MASS::polr,-1.83223048672274,1.84400345377564,-0.993615539586549,0.320410075869343,0.160056166180033,0.0043117525064309,5.94143014795997,-0.993615539586549,-1,NA,NA
CAMEB2,MMRC,Veillonella_atypica,MASS::polr,-0.757516506870935,1.49061736489857,-0.508189777409764,0.611320259241203,0.468829316784766,0.025246370988892,8.70623854706006,-0.508189777409764,-1,NA,NA
CAMEB2,MMRC,Veillonella_dispar,MASS::polr,-3.33497083332286,1.85176334355895,-1.80097032643128,0.0717075571228687,0.0356156249856582,0.000944967242974968,1.34234572949387,-1.80097032643128,-1,-1.80097032643128,NA
CAMEB2,MMRC,Veillonella_parvula,MASS::polr,-0.371428495578721,1.32098854352021,-0.281174653179751,0.778576444582729,0.689748324120614,0.0517920578480649,9.18582443707574,-0.281174653179751,-1,NA,NA
CAMEB2,MMRC,Neisseria_subflava,MASS::polr,-1.64000672166958,0.784082163675827,-2.0916261045668,0.0364719754712828,0.193978738425525,0.0417197966344835,0.901915972669361,-2.0916261045668,-1,-2.0916261045668,-
CAMEB2,MMRC,Haemophilus_influenzae,MASS::polr,0.570800731347999,0.419136839545336,1.36184815433352,0.173245810951424,1.76968352532529,0.778261744585914,4.0240700530309,1.36184815433352,1,1.36184815433352,NA
CAMEB2,MMRC,Haemophilus_parainfluenzae,MASS::polr,-2.89426047510678,1.24545253676849,-2.32386252359032,0.0201328634147201,0.0553399352254854,0.00481845186846492,0.635579334267913,-2.32386252359032,-1,-2.32386252359032,-
