PC1,PC2,Group,group_metaG,grp.color
-54.2551391975858,-6.20650593333375,Stable,PPM,Stable-PPM
-68.0731748652739,-12.8925636091359,Stable,Pa,Stable-Pa
-64.6587166513044,-8.23514985036181,Stable,Pa,Stable-Pa
-68.247161158017,-11.787938393791,Stable,Hi,Stable-Hi
-58.351290578858,-6.69728585311043,Stable,Commensal,Stable-Commensal
-39.1530748803615,-24.3352375950843,Stable,PPM,Stable-PPM
-69.9875653826465,-12.6752486462035,Stable,Pa,Stable-Pa
-60.6822983009926,-8.64761867845681,Stable,Pa,Stable-Pa
-52.2384257944219,1.06241432651076,Stable,PPM,Stable-PPM
-43.0147201837782,-21.2405147138239,Stable,Commensal,Stable-Commensal
238.092216196798,-162.164937382877,Stable,Commensal,Stable-Commensal
-65.5486342487284,-7.26748087475915,Stable,Commensal,Stable-Commensal
-69.0313001335984,-11.8191139715845,Stable,PPM,Stable-PPM
233.990690367183,-61.6131610889662,Stable,Pa,Stable-Pa
-50.2056967527905,-11.1290208937231,Stable,Pa,Stable-Pa
-65.6369171913844,-9.14380755612357,Stable,PPM,Stable-PPM
-48.5651721044469,-7.64960966586597,Stable,Commensal,Stable-Commensal
-67.8803220285575,-11.7134563622364,Stable,Hi,Stable-Hi
-61.5799385413325,-5.33958829900509,Stable,Pa,Stable-Pa
-65.807660471736,-13.5796962281504,Stable,Pa,Stable-Pa
-47.8403615837376,18.205446276296,Stable,Hi,Stable-Hi
-54.7332989336684,-2.10352353455911,Stable,Commensal,Stable-Commensal
287.451475549919,-28.7376739815289,Stable,Commensal,Stable-Commensal
-68.6994326380165,-12.1767261887955,Stable,PPM,Stable-PPM
-59.6342263705718,-13.9341280221969,Stable,Hi,Stable-Hi
-68.9263505733959,-12.7719417322185,Stable,Commensal,Stable-Commensal
165.001333852561,-117.891780093427,Stable,Pa,Stable-Pa
-69.4126921743181,-11.9925582960101,Stable,Pa,Stable-Pa
-67.0652037608028,-7.8640000221572,Stable,PPM,Stable-PPM
-63.8607645733358,-6.19094742874772,Stable,PPM,Stable-PPM
-65.1482772033362,-9.14796889042421,Stable,Pa,Stable-Pa
-47.748156452636,-5.63192664966842,Stable,Pa,Stable-Pa
-16.4159889665375,-13.318529312382,Stable,Hi,Stable-Hi
350.914088941441,-19.9089238826493,Stable,Pa,Stable-Pa
329.647022309262,-58.642865035079,Stable,Pa,Stable-Pa
-34.844495882083,37.8856569269675,Stable,Hi,Stable-Hi
-61.5011477459159,-1.00321830150264,Stable,Pa,Stable-Pa
10.5289849312241,-17.9486448393515,Stable,Commensal,Stable-Commensal
403.821020629187,-24.189979372219,Stable,Pa,Stable-Pa
-64.4274133637632,-4.08671158541092,Stable,PPM,Stable-PPM
-53.0487957096437,12.7728474200448,Stable,Hi,Stable-Hi
-49.0432338380157,14.8805109802259,Stable,PPM,Stable-PPM
-60.6172506261344,0.417113328008558,Stable,PPM,Stable-PPM
-61.8163408060716,-4.54012036952597,Stable,Pa,Stable-Pa
-62.9624198923955,-11.8116200829067,Stable,Pa,Stable-Pa
-48.3826137160777,-9.60746230854194,Stable,Commensal,Stable-Commensal
6.80239753589667,-21.9091786554376,Stable,Pa,Stable-Pa
-54.9317024679635,-3.77695540540962,Stable,Pa,Stable-Pa
-66.5321260048971,-8.16478760945641,Stable,Pa,Stable-Pa
-62.1205224062553,-7.33118588798774,Stable,Commensal,Stable-Commensal
-64.2947349642804,-11.2369033098841,Stable,PPM,Stable-PPM
-69.038232887696,-12.1649382955384,Stable,Pa,Stable-Pa
-51.0168448863398,-9.89726011543874,Stable,Pa,Stable-Pa
-69.2561647053701,-12.4866080530693,Stable,Pa,Stable-Pa
-65.0612705029182,-11.7963853485878,Stable,Pa,Stable-Pa
-68.7874806419293,-10.767713687912,Stable,Pa,Stable-Pa
-68.633271819773,-11.1594122792284,Stable,Pa,Stable-Pa
-67.0350424078283,-9.14010490583577,Stable,Commensal,Stable-Commensal
0.16653537129858,-8.13927571951734,Health,Commensal,Health
-67.5088708771577,-10.4845414685564,Health,Commensal,Health
-32.1713730889163,24.3451568085732,Health,Commensal,Health
-26.1734376545864,30.9473383785856,Health,Commensal,Health
-66.869440523532,-9.4190960908318,Health,Commensal,Health
-60.604461838672,-3.84893355858228,Health,Commensal,Health
-59.4024864179751,-2.94245933734939,Health,PPM,Health
-63.063640111733,-5.21320554732289,Health,Commensal,Health
-42.7016279354035,19.2625255721467,Health,Commensal,Health
-30.2244154941553,-4.45651601521933,Health,Commensal,Health
-63.5630414267022,-6.69030724157061,Health,PPM,Health
-39.366387964015,22.3642163944427,Health,Commensal,Health
-62.3341285807881,-4.78063496683132,Health,PPM,Health
-0.334146744256239,52.6130041002108,Health,Commensal,Health
-29.2060859703892,34.0951596616718,Health,Commensal,Health
-38.0197733788975,19.0646877596867,Health,Commensal,Health
-46.0283698794139,11.6768677859892,Health,Commensal,Health
-6.50710223831071,48.5773313307698,Health,Commensal,Health
-57.2647082571454,-0.909794800400974,Health,Commensal,Health
4.87829649804161,60.4533899816077,Stable,Pa,Stable-Pa
-15.2433318398064,20.0183218168065,Stable,PPM,Stable-PPM
-6.50304708308201,30.5440976341387,Stable,Hi,Stable-Hi
14.1657064758352,76.4556257527103,Stable,Commensal,Stable-Commensal
47.5520048002742,42.1479433831005,Stable,Pa,Stable-Pa
29.1698337303961,24.7547134941799,Stable,Commensal,Stable-Commensal
392.708756451561,271.222283845475,Stable,Hi,Stable-Hi
30.416908690858,60.740163299598,Stable,Pa,Stable-Pa
216.217221429462,-13.2435002438996,Stable,PPM,Stable-PPM
226.779945906385,-19.3597628995425,Stable,Pa,Stable-Pa
153.030679507256,-21.0133410205871,Stable,Pa,Stable-Pa
7.08890344615221,12.7356006011306,Stable,Commensal,Stable-Commensal
139.1525224015,-19.7916835491847,Stable,Pa,Stable-Pa
-10.8787034843664,28.5114410539332,Stable,Commensal,Stable-Commensal
1.86903974416314,39.2181170698544,Stable,PPM,Stable-PPM
-48.2699907235476,18.3221710299176,Stable,Commensal,Stable-Commensal
110.780460847003,-6.00338077735032,Stable,PPM,Stable-PPM
-35.1904536477126,17.1246383458931,Stable,PPM,Stable-PPM
-39.7554338840493,9.00660658440209,Stable,Pa,Stable-Pa
66.7397615682829,-5.80272591235814,Stable,Commensal,Stable-Commensal
-0.535657450714852,4.74155084104908,Stable,Pa,Stable-Pa
33.5885560095331,1.07704649813698,Stable,PPM,Stable-PPM
182.444773473227,14.9758668179113,Stable,Pa,Stable-Pa
170.474046802157,-0.650076871189493,Stable,PPM,Stable-PPM
