SampleID	Group	PCoA1	PCoA2
TT0014	PPMD	0.197510662967108	-0.138846959245759
DU0012	NPD	-0.221611842938051	-0.0171533365426768
DU0010	HID	0.0550119028070954	-0.47538593184168
DU0017	PPMD	0.122694228017104	-0.101740344269639
DU0013	NPD	-0.14033482399057	0.00608181868483336
CH0012	PAD	-0.351492167681419	0.153949423109056
CH0002	NPD	0.0931450279744392	0.0779493330455076
DU0007	NPD	-0.00273641454429074	0.022192916532938
DU0005	NPD	0.206983006725449	0.0799168074201707
DU0019	HID	0.0316009221582947	-0.427628369271379
DU0004	NPD	0.193979926412045	0.0448925150124066
DU0002	HID	-0.199632696842599	-0.675796603698182
TT0063	NPD	0.262236293515057	0.108178499474039
TT0061	NPD	0.204311820798422	0.0818495739829492
TT0038	PPMD	0.0640672220735966	0.165816351887013
TT0034	NPD	0.176766020375437	0.145416137766449
TT0033	NPD	0.271903989280706	0.0985411960388777
TT0030	PPMD	-0.0176094196352423	0.199265330596032
TT0021	PPMD	0.137978051244719	0.0422298231425606
TT0019	NPD	0.199948569982893	0.0774036382937592
TT0018	NPD	0.144269223569561	0.16053885352779
SG0012	PPMD	0.188328516495008	0.087870173489556
CH0035	NPD	0.219006700691695	0.0883169525152748
KL0010	NPD	0.260047669138126	0.133744436733785
KL0003	NPD	0.223575535555883	0.0711596127690802
KL0002	NPD	0.122019599467651	0.0712401861536876
DU0099	HID	0.0380761776066431	-0.474539500904496
DU0087	HID	0.0778197416404346	-0.413144400184297
DU0083	NPD	0.0314174049507964	0.00355172037949846
DU0077	NPD	0.200859041018982	0.0820995448132977
DU0076	NPD	0.219833774395501	0.0697509566736436
DU0074	NPD	0.235334436369824	0.0626733180485047
DU0071	NPD	0.0840166770167413	0.0247954522463629
CH0023	NPD	0.176396093657167	0.0889481420916362
DU0064	HID	0.0213701474689542	-0.255938970367017
DU0063	PPMD	0.170982232020324	-0.242403451887363
DU0059	PPMD	0.165166072706212	-0.172441477874183
DU0058	NPD	0.181024127409515	0.0675515461845105
DU0047	PAD	-0.670696617436501	0.187111129904573
DU0038	PPMD	-0.159923316059128	-0.488421807485271
DU0034	NPD	0.16939768674949	0.144524838117143
TTS1134	HID	0.0721020117029891	-0.416220289601731
TTS1131	PAD	-0.461275467151467	0.209266563985744
TTS1122	HID	-0.0507721530599097	-0.561578719193128
KL0007	NPD	0.247905263664454	0.101925208025259
TTS1120	NPD	0.247114441431424	0.109580428195285
TTS1118	PPMD	0.195503751484489	0.0523042766840154
TTS1115	PPMD	0.146547125910571	-0.254290588723056
TTS1111	NPD	0.180976177714157	0.132568070391475
TTS1108	NPD	0.213826526786305	0.11020184523427
TTS1106	NPD	0.199104926673498	0.0713435310333217
TT0011	NPD	0.16867372628442	0.11561263570953
TT0009	PAD	-0.651628536309383	0.189647753013708
TT0006	NPD	0.0976373350676532	0.15174586137151
TT0005	PPMD	-0.0130901648616693	-0.0078795466539199
KL0006	PPMD	-0.415062625547586	0.0578901893266761
TT0003	NPD	0.251059747856231	0.111130230700276
TBS670	PPMD	0.159596539980744	0.0564091784228211
TBS668	HID	-0.0656368083198469	-0.49735760452387
TBS664	NPD	0.169352898684812	0.0629915547005622
TBS663	HID	-0.152164432821854	-0.639495147555943
TBS596	PAD	-0.664449444759005	0.189924591290927
TBS556	NPD	-0.150434186921247	-0.067886914088724
TBS524	HID	-0.165402368419992	-0.630317284521097
TBS516	PPMD	0.220744969962964	-0.000679173825299917
TBS480	NPD	0.050667603419436	-0.0105858735469933
KL0004	NPD	0.0414671678020062	0.102525751939689
TBS469	HID	-0.0584727917557631	-0.554889459952125
TBS468	PPMD	-0.448652520506592	0.0945587751468628
TBS467	NPD	-0.0758592614892365	-0.0489970172774291
TBS466	NPD	0.0647634488334075	0.0397554449656129
TBS461	NPD	0.0699358253669198	0.0681348828363173
TBS442	NPD	0.170827023400775	0.0543047684963607
IT257	PAD	-0.635236552041433	0.186007759770603
KL0011	NPD	0.277453394237361	0.100884488031401
CH0016	PPMD	-0.0702673503875485	-0.0983796666832223
CH0001	NPD	0.221287567487258	0.11885373361439
IT254	NPD	0.215200949201129	0.109535425692621
IT236	PAD	-0.486698655698862	0.133963657740524
IT230	PPMD	-0.163010494710185	-0.571249476246135
IT226	HID	-0.0367368891817228	-0.527603490763269
IT222	PAD	-0.626204564590557	0.191761788453908
IT202	HID	0.0399937663490539	-0.448492763502502
IT197	PAD	-0.210130526485831	0.174190140541833
IT173	PAD	-0.645214689095288	0.185440735887362
IT148	PAD	-0.640211719924729	0.183087598453771
IT103	PPMD	-0.298363707412495	0.0259072583873872
KL0009	PAD	-0.547677953349781	0.191707526127233
DU0089	NPD	0.164188147653636	0.0718980431686899
TTS1330	HID	-0.153165627112448	-0.634194117503251
TTS1320	PPMD	0.151991900060745	0.0508999103819522
TTS1272	NPD	0.201049232793738	0.0730508274409573
TTS1263	PPMD	0.106006253679668	-0.230917889490947
TTS1223	HID	-0.0618069701258582	-0.563725851911698
TTS1214	NPD	0.23374857327779	0.0685776840047318
TTS1212	PAD	-0.652341294361519	0.185749936823396
TTS1210	PPMD	0.245635377330712	0.125308675289563
TTS1205	NPD	0.239009999643656	0.105421596874055
KL0008	NPD	0.107234611669888	0.0613739744029997
TTS1204	NPD	0.197511818781696	0.099248437715173
TTS1200	NPD	0.114805959997767	0.0573754605361862
TTS1194	PPMD	0.205793888400385	0.0651376743967866
TTS1189	NPD	0.241500226237335	0.129382826985814
TTS1188	NPD	0.043682183786067	0.0607827091275712
TTS1160	HID	-0.119871649506573	-0.610073824223664
TTS1149	PPMD	-0.134639248394521	-0.0841791116514259
KL0018	PPMD	0.0784469276829426	0.0281289453510277
KL0016	NPD	0.157144978987482	0.0635999719181052
TT0025	PPMD	0.183117351488436	-0.0619879164854328
TT0016	HID	0.0859378333172412	-0.427475596214208
TT0012	PAD	-0.362229209328828	0.219177062184796
KL0012	PPMD	-0.334251038934392	0.0108135748028555
TT0069	NPD	0.155377821193091	0.0623933796140814
TT0067	NPD	0.153456724766464	0.069203092880297
TT0065	PAD	-0.443482431615892	0.239718279166096
TT0062	NPD	0.23529732727622	0.0874881999932745
TT0060	PAD	-0.552288839868617	0.201119497168449
KL0014	NPD	-0.171992341087798	-0.0597446119608083
TT0059	NPD	0.24582988716727	0.0677470371362792
TT0053	NPD	-0.16292099889395	-0.0492263143355277
TT0049	HID	0.0375406319671144	-0.436729909098182
TT0048	NPD	0.232762833104818	0.137230372359269
TT0045	PAD	-0.390051018267889	0.244042104560807
TT0043	PPMD	0.0187572794267815	0.214804699475897
TT0031	NPD	-0.0998491679725146	-0.0228943434504575
KL0020	NPD	0.115041348519283	0.0533753333902348
IT52	PAD	-0.623396351152709	0.171274494126846
IT381	PPMD	-0.0310745226749329	0.101517732867591
KL0013	PPMD	-0.371817396713047	0.0302073652098825
IT361	NPD	0.248436048804057	0.13132446493792
IT339	NPD	0.276088928838558	0.133669739082437
IT338	PPMD	-0.173443035758233	-0.0756394154710594
IT323	PPMD	0.147394452416391	0.0898181982152592
IT315	PAD	-0.59542021750756	0.193516484367835
IT311	NPD	0.188810726984689	0.0650937320198315
IT309	NPD	0.254666293642468	0.0540752225136098
IT271	PPMD	0.120714050484077	0.163730653038653
IT261	PAD	-0.662683162567434	0.183901365006766
TBS435	HID	-0.145648192374834	-0.595732609749594
TBS425	PAD	-0.672289199789599	0.187961059434868
TBS396	HID	-0.157221909111388	-0.646366714651746
TBS365	PPMD	-0.191288863074218	-0.0944200279620696
CH0055	PPMD	0.00786361564084391	-0.00897443367941095
TBS349	NPD	0.18232068041483	0.0498769626121197
TBS277	NPD	0.246200072294331	0.022092991977687
TBS165	NPD	0.166752782773716	0.0540206564806219
TBS160	PAD	-0.674757823249921	0.187958307059455
TBS035	PPMD	0.168057426855377	-0.0303364269005708
TBS011	PPMD	0.0581728156230756	0.0879923777257996
TBS006	PPMD	0.212461993036524	0.0984846990441071
TBS002	NPD	0.136907856831428	0.0531622150832832
SG0031	PAD	-0.664798554806927	0.187342596869169
SG0028	NPD	0.194105286458816	0.0796571523486258
CH0050	PPMD	0.121308691719366	-0.118898746678797
SG0025	PPMD	-0.191032185019005	-0.0981600635660786
SG0024	NPD	0.234781854154511	0.0934626536184729
SG0006	PPMD	-0.159731517804314	-0.429890617499172
SG0002	PPMD	0.106604671427658	-0.219595685949384
SG0001	NPD	0.17920439446539	0.0773932499786089
KL0039	PPMD	-0.142248594656063	-0.0771295631011056
KL0037	NPD	-0.128390914144072	0.0523354132621895
KL0035	PPMD	-0.19968984993279	-0.0723434152739936
KL0031	PPMD	0.014545674545284	0.168754318918456
KL0026	NPD	0.16101606063489	0.0982964553840866
CH0018	NPD	-0.117245289477872	-0.0310865818236028
KL0024	NPD	0.167163481551944	0.0884672147295394
KL0023	NPD	-0.0483305795232849	-0.0145428508910408
KL0022	PAD	-0.307951657702623	0.247662327002378
KL0021	NPD	0.0590671777600064	0.0347542812642615
KL0019	PAD	-0.258891685492748	0.240910584181918
TT0029	NPD	-0.16429511332853	-0.00901151658622702
TBE0008	PPMD	-0.0866437269777656	0.00506298989327344
TBE0007	PAD	-0.434318348210323	0.240240924059113
TBE0006	NPD	0.211485974689528	0.0894270848103523
TBE0005	PAD	-0.661447579767283	0.185450865661351
TBE0004	PPMD	0.0552480478704064	0.0435906305278072
TBE0003	PPMD	-0.0811843543516837	0.20191738984814
TBE0002	NPD	0.217351694304021	0.0326730684639693
TBE0001	PAD	-0.633992341142662	0.189281703300395
SG0003	NPD	0.0352575487058316	0.0641836797256945
SBE0018	PPMD	0.112410777383584	0.0131926103954949
SBE0015	HID	0.0935087581264979	-0.395567951158054
SBE0012	HID	-0.188611487993025	-0.668184381614456
SBE0011	PPMD	-0.135258173452184	-0.082790041379668
SBE0010	NPD	0.159737646210852	0.0914108576915631
SBE0009	NPD	0.177554345267047	0.0667035325867903
SBE0008	PPMD	-0.0870060767967485	-0.0509145706438241
SBE0007	NPD	0.229704657683568	0.139342198269046
SBE0006	PPMD	0.0399918988650481	0.175607716484958
SBE0004	PAD	-0.563493876865719	0.20265761316518
SBE0003	NPD	0.224442459762367	0.150949087076231
KL0043	NPD	-0.137263484538731	-0.0189657537474754
KL0042	NPD	-0.0691999389500544	0.0150095226666246
KL0041	NPD	-0.217211834989695	-0.0317986433582261
KL0040	PPMD	-0.0820457409875675	0.0640732348678918
KL0036	HID	-0.0392759640113841	-0.371104223867672
KL0029	HID	0.069374777448208	-0.36761518352086
KL0028	PPMD	0.174382631986063	-0.0930579425354212
TTS1301	PPMD	0.0683141906445611	-0.241768066910021
TTS1203	NPD	0.00296381083953656	0.0409823325667109
TTS1170	PPMD	-0.0148302966013854	-0.11747675953179
TTS1146	NPD	-0.0679043520379561	-0.0367698407144066
TTS1141	NPD	0.162846249274627	0.0728661103402924
TTS1123	NPD	0.170175188080811	0.0866686900261929
TTS1116	NPD	0.153015517819392	0.113637899169251
