module	Number	Super.class	Class	Sub.class	Sub.class	Summary
mediumaquamarine	5	Lipids and lipid-like molecules	Fatty Acyls	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lightseagreen	6	Lipids and lipid-like molecules	Fatty Acyls	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
bisque	5	Nucleosides, nucleotides, and analogues	Flavonoids	Flavones	Flavones	Nucleosides, nucleotides, and analogues
cyan1	7	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid glycosides	Polyketides
mistyrose4	10	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid glycosides	Polyketides
lightskyblue1	8	Phenylpropanoids and polyketides	Flavonoids	Miscellaneous	Miscellaneous	Polyketides
coral3	16	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Glycerophosphoethanolamines	Glycerophospholipids
tomato2	10	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoglycerophosphates	Glycerophosphoglycerophosphates	Glycerophospholipids
hotpink2	6	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoglycerophosphoglycerols	Glycerophosphoglycerophosphoglycerols	Glycerophospholipids
chartreuse2	5	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositol phosphates	Glycerophosphoinositol phosphates	Glycerophospholipids
grey60	30	Lipids and lipid-like molecules	Glycerophospholipids	Miscellaneous	Miscellaneous	Glycerophospholipids
orange2	8	Organoheterocyclic compounds	Indoles and derivatives	Miscellaneous	Miscellaneous	Indoles and derivatives
olivedrab3	6	Phenylpropanoids and polyketides	Alkaloids derived from tyrosine	Isoquinoline alkaloids	Isoquinoline alkaloids	Alkaloids
burlywood4	5	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
orchid	5	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
aquamarine1	6	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
burlywood3	6	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
darkblue	6	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
seashell2	6	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
oldlace	8	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lightblue1	9	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
tomato4	9	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
orange3	9	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lightskyblue3	10	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
brown3	10	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
paleturquoise4	10	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
