module	Summary
lightblue2	Miscellaneous
honeydew1	Miscellaneous
paleturquoise	Miscellaneous
black	Miscellaneous
brown2	Miscellaneous
green	Miscellaneous
mistyrose	Miscellaneous
lightsteelblue1	Miscellaneous
magenta2	Miscellaneous
mistyrose2	Miscellaneous
whitesmoke	Miscellaneous
dodgerblue1	Miscellaneous
royalblue4	Nucleosides, nucleotides, and analogues
sienna2	Nucleosides, nucleotides, and analogues
goldenrod1	Miscellaneous
firebrick1	Nucleosides, nucleotides, and analogues
dodgerblue	Benzenoids
seashell4	Miscellaneous
mediumorchid2	Miscellaneous
tomato	Amino acids, peptides, and analogues
lightyellow3	Organoheterocyclic compounds
violetred	Organoheterocyclic compounds
lightgoldenrod2	Organoheterocyclic compounds
violetred3	Organoheterocyclic compounds
darkgoldenrod1	Organoheterocyclic compounds
lightpink1	Organoheterocyclic compounds
darksalmon	Amino acids, peptides, and analogues
plum2	Polyketides
lightsalmon4	Lipids and lipid-like molecules
pink3	Lipids and lipid-like molecules
dodgerblue4	Organoheterocyclic compounds
royalblue2	Organoheterocyclic compounds
lightgoldenrod1	Organoheterocyclic compounds
cornsilk2	Organoheterocyclic compounds
olivedrab2	Alkaloids
khaki	Polyketides
chocolate	Lipids and lipid-like molecules
goldenrod4	Lipids and lipid-like molecules
deepskyblue3	Lipids and lipid-like molecules
mediumorchid3	Lipids and lipid-like molecules
orangered2	Lipids and lipid-like molecules
seashell1	Miscellaneous
green2	Lipids and lipid-like molecules
