#SampleID	174LBQA	206ZFDA	287DJQA	388DHLA	LD200117-0003_L3_1000785	LD200117-0004_L3_1000786	LD200117-0005_L3_1000787	LD200117-0006_L3_1000734	LD200117-0007_L3_1000735	LD200117-0008_L3_1000736	LD200117-0009_L3_1000737	LD200117-0010_L3_1000738	LD200117-0011_L3_1000739	LD200117-0012_L3_1000740	LD200117-0013_L3_1000741	LD200117-0014_L3_1000742	LD200117-0015_L3_1001290	LD200117-0016_L3_1001359	LD200117-0017_L3_1001360	LD200117-0018_L3_1000753	LD200117-0019_L3_1000754	LD200117-0020_L3_1000755	LD200117-0021_L4_1000756	LD200117-0022_L4_1000757	LD200117-0023_L4_1000758	LD200117-0024_L4_1000759	LD200117-0025_L2_R1000760	LD200117-0026_L2_1000761	LD210301-0050_S20210312-0111_376VYKZ	LD210301-0051_S20210312-0112_377VHWH	LD210301-0052_S20210312-0113_086VHXM	LD210301-0053_S20210312-0114_R173VHJW	LD210301-0054_S20210312-0115_384VCZL	LD210301-0055_S20210312-0116_372VJHK	LD210301-0056_S20210312-0117_348VYQM	LD210301-0057_S20210312-0118_371VTYJ	LD210301-0058_S20210312-0119_367VWSY	LD210301-0059_S20210312-0120_002VWWX	LD210301-0060_S20210312-0121_031VPYH	LD210301-0061_S20210312-0122_357VLTS	LD210301-0062_S20210312-0123_342VCSL	LD210304-0033_S20210324-0146_036VXHM	LD210304-0034_S20210324-0147_358VWXC	LD210304-0035_S20210324-0148_347VPZL	LD210304-0036_S20210324-0149_047VLRL	LD210304-0037_S20210324-0152_350VLYY	LD210304-0038_S20210324-0153_180VHMQ	LD210304-0039_S20210324-0154_006VHQK	LD210304-0040_S20210324-0155_199VOZQ	LD210304-0041_S20210324-0156_235VDBJ	LD210304-0042_S20210324-0157_027VYMX	LD210307-0034_S20210324-0158_388VDHL	LD210307-0035_S20210324-0159_390VNFD	LD210307-0036_S20210324-0160_392VWLL	LD210307-0037_S20210324-0161_153VWG	LD210307-0038_S20210324-0162_393VZLH	LD210307-0039_S20210324-0163_040VYDY	LD210307-0040_S20210324-0164_309VHJD	LD210307-0041_S20210324-0165_395VGSQ	LD210307-0042_S20210324-0166_036AXHM	LD210307-0043_S20210324-0167_358AWXC	LD210307-0044_S20210324-0168_083VYGC	LD210307-0045_S20210324-0169_004VWZY	LD210307-0046_S20210324-0170_227VZMH	LD210307-0047_S20210324-0150_351VZDY	LD210307-0048_S20210324-0151_243VHZH	LD210309-0041_S20210324-0175_347APZL	LD210309-0042_S20210324-0176_083AYGC	LD210309-0043_S20210324-0177_004AWZY	LD210309-0044_S20210324-0178_R227AZMH	LD210309-0045_S20210324-0179_351AZDY	LD210309-0046_S20210324-0180_R243AHZH	LD210309-0047_S20210324-0181_331ALDY	LD210309-0048_S20210324-0182_R215ATKH	LD210309-0049_S20210324-0183_325ALRY	LD210309-0050_S20210324-0184_379ALJJ	LD210309-0051_S20210324-0185_361ATLX	LD210309-0052_S20210324-0186_C010WL	LD210309-0053_S20210324-0187_C013MJH	LD210309-0054_S20210324-0188_C024XHR	LD210309-0055_S20210324-0189_C018LJP	LD210309-0056_S20210324-0190_C017YYM	LD210309-0057_S20210324-0191_C020LBJ	LD210309-0058_S20210324-0192_C022SMR	LD210309-0059_S20210324-0193_C014LWG	LD210309-0060_S20210324-0194_C025PCY	LD210309-0061_S20210324-0195_C002HHP	LD210309-0062_S20210324-0196_C001CJB	LD210309-0063_S20210324-0197_C006LYH	LD210309-0064_S20210324-0198_C007XXZ	LD210309-0065_S20210324-0199_C008QLX	LD210309-0066_S20210324-0200_C009HHY	LD210309-0067_S20210324-0201_C003XYQ	LD210309-0068_S20210324-0202_C026CBR	LD210309-0069_S20210324-0203_C031CQS	LD210309-0070_S20210324-0204_C034LJ	LD210309-0071_S20210324-0205_331VLDY	LD210309-0072_S20210324-0206_215VTKH	LD210309-0073_S20210324-0207_325VLRY	LD210309-0074_S20210324-0208_379VLJJ	LD210309-0075_S20210324-0209_361VTLX	LD210309-0076_S20210324-0210_359VYSH	LD210309-0077_S20210324-0211_R195VXXY	LD210309-0078_S20210324-0212_155VCHJ	LD210309-0079_S20210324-0213_353VGSZ	LD210309-0080_S20210324-0214_R149VYYD	LD210309-0081_S20210324-0215_322VCHL	LD210309-0082_S20210324-0216_230VLSH	LD210309-0083_S20210324-0217_370VLZW	LD210309-0084_S20210324-0218_373VHXR	LD210309-0085_S20210324-0219_110VZSZ	LD210309-0086_S20210324-0220_189VXZJ	LD210309-0087_S20210324-0221_220VDXP	LD210309-0088_S20210324-0222_362VLBJ	LD210310-0025_S20210324-0171_354VPYM	LD210310-0026_S20210324-0172_363VLH	LD210310-0027_S20210324-0173_364VCZ	LD210310-0028_S20210324-0174_366VZMY
K03166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.922594	3.960753	8.392799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07192	0	0	0	0	0	16.4514883	0	4.380657	0	3.843155	0.118765	0	0.4919514	0	1.2019515	5.977567	7.783564	0.4129046	0.377358	0.128623	3.864006	1.094697	4.6237838	0	2.932473	0.465717	0	1.508593	3.677573	2.210905	1.079006	0.90303	0	2.150988	0	0.493553	0	0.616487	2.231299	1.126039	1.88519	0	0.573438	0	0.547384	0	3.612339	1.116013	1	2.040172	0	0	0	0.455465	0.768197	0.241546	2.394437	0	0.281217	0.435245	0	0	0	3.31985	0.21097	0	0.353357	0	0	3.244648	0.251256	0	1.944103	0	0.193798	1.45775	1.352064	4.829471	2.059818	3.881926	5.894375	3.072376	5.5608309	1.403292	3.0652304	5.430363	2.893363	5.652717	9.848828	4.8017382	9.779207	6.032085	20.92116	5.421281	8.302658	4.499325	0	0.118765	0	0.162312	0	1.558621	0.479094	0	0	5.730805	0	3.744919	0.438861	0.243902	0	0	0	0.774333	0	0	1.072128	0.0602958
K21834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9391	0	0	0	0	0	18.3765	0	0	0	0	0	0	0	0	0	0	0	6.56522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00982	0.430645	0.379399	1.61481	4.5638948	37.6536581	0.969407	66.0830629	33.7219246	14.278062	3.2697871	29.4736361	68.4833016	11.2567854	5.1053176	20.0492096	15.4630386	41.8066836	27.4074148	6.7518067	7.3941517	3.9769023	35.6367888	39.5991973	28.2012359	40.4514267	14.733658	49.3156251	29.3111818	33.3312627	31.5949867	0.1098336	7.140477	9.5019156	25.149849	28.272906	27.712247	26.152123	1.1277487	6.9638291	24.9001406	22.4702139	3.0401812	4.9329182	16.75646	40.1872672	14.8687771	36.1361669	42.6925434	28.9227456	9.6893042	21.4462262	63.2617697	45.6554879	52.630663	49.5265697	16.7422733	25.055985	0.8711198	5.4377125	0.2004214	1.3609678	14.89874	12.025437	1.29182	24.4250053	10.352112	17.575544	4.0719448	19.9149364	12.4932001	30.0195072	44.2872535	32.0106658	33.5024688	17.863709	22.8177292	75.3309023	16.3792058	18.0853742	13.8769098	42.49625	47.6187526	44.5365521	28.2358459	78.0911308	37.0713957	39.841555	50.608671	57.1075683	50.1088743	39.5018655	50.8163472	53.4656655	25.313457	10.1210723	18.0872398	29.5232681	26.2525958	36.0518465	11.3913911	4.3820644	26.7787834	16.9503244	13.4463309	26.246594	37.6468806	24.915338	6.0569883	1.361733	40.7687828	6.6484945	0.0591716	49.5979241	14.9646092	37.2381026	5.3492293	1.6448623	12.036267
K17104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501475	0	0	0	0	0	0	0	5.52579	3.31118	2.651018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.752688	0	0	6.710432	0	0	0	1	0	0	0	0	0	0.0542169	0	0	1.75269	0.140562	0	0	0	0	0	0	0	0	1.40161	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44679	0	0	0	0	0	0	0	0	0	0	85.3278	0.42963	1.05907	0.986111	0	0	0	0	5.15054	0	20.078443	0	0	0	0.150602	0	1.04974	3.137126	0	0	0	1	0	0	72.1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10551	0	0	0	0	0	0	0	0.703831	0	0	0	0	0	0	0	0	0	0	0.21692	7.16486	0	0	0.385507	0	0.26178	0	0.32538	0	0	0	0	0	0	0	0	0	0	0	0	0	0.800067	0.371015	0	0	0	0	0	0	0	0	0	0	0	0	0.267544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.094	0	0	0	0	2.870787	0	0	0	0	0	0	1.16279	0	1.400051	0	0	0	0.164474	1.292124	0	0.473644	0	0	11.2292	0	0	0	0	0	0	0	0	0	0	0	1.20904	0	0	0	0	0	0	0	0	0
K00561	0.510204	3.371135	0	0.460829	0.460829	0.397849	0	20.681238	3.050389	11.169333	0.852644	0.614439	2.092306	6.746909	2.193603	2.095017	30.577652	2.90671	4.1474596	1.149002	14.945552	9.6415856	24.681	2.058593	27.496877	4.28896	0.230415	46.92173	29.554265	6.23156	2.287523	1.38095	0	0.971033	0.255102	3.425436	0	5.913499	3.158933	0.738863	27.296317	3.520136	3.282304	0.56682	1.2449	0.887865	17.94717	4.530062	1.433214	7.36357	1.38249	0	0	2.897358	9.446523	0.230415	0.400595	2.855452	18.726883	0	0.348936	3.234589	0	8.543776	1.120422	0.501701	1.235533	1.041474	0	12.753157	4.990892	1.680162	14.154468	3.007344	0.921659	11.329954	2.05223	25.64905	5.355183	4.440592	9.71629	26.43309	11.8650238	15.666799	3.551206	7.367693	13.920516	8.900074	28.37546	7.955687	11.072012	7.025925	6.170176	7.958091	23.5354	25.37137	14.711162	0.85034	0	2.742199	6.386042	3.277593	0	0.460829	0.213518	10.770563	0.199693	9.938265	6.53379	5.143973	0.670013	1.442775	19.94796	0.113671	1.670123	0.921659	2.204432	0.417021
K15268	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94697	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14056	2.12048	0	2.07155	3.00803	0	16.07677	0	0	0	0	0	0	0	8.02268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.859438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
