Metabolites	Module	Class
HMDB0011758	grey60	Lipids and lipid-like molecules
HMDB0011767	rosybrown2	Lipids and lipid-like molecules
HMDB0035470	whitesmoke	Lipids and lipid-like molecules
HMDB0035480	coral3	Lipids and lipid-like molecules
HMDB0000024	darkolivegreen	Lipids and lipid-like molecules
HMDB0004837	grey60	Lipids and lipid-like molecules
HMDB0004888	lightslateblue	Lipids and lipid-like molecules
HMDB0011914	dodgerblue1	Lipids and lipid-like molecules
HMDB0011915	salmon4	Lipids and lipid-like molecules
HMDB0032795	purple	Lipids and lipid-like molecules
HMDB0032843	mediumpurple	Lipids and lipid-like molecules
HMDB0062485	mediumpurple1	Lipids and lipid-like molecules
C06124	purple	Lipids and lipid-like molecules
HMDB0012082	whitesmoke	Lipids and lipid-like molecules
HMDB0062665	grey60	Lipids and lipid-like molecules
HMDB0001984	seashell2	Lipids and lipid-like molecules
HMDB0015316	indianred3	Lipids and lipid-like molecules
HMDB0061030	lightpink3	Lipids and lipid-like molecules
HMDB0061092	brown4	Lipids and lipid-like molecules
C17644	white	Lipids and lipid-like molecules
HMDB0000601	dodgerblue1	Lipids and lipid-like molecules
HMDB0002497	green3	Lipids and lipid-like molecules
HMDB0006898	greenyellow	Lipids and lipid-like molecules
HMDB0032596	paleturquoise	Lipids and lipid-like molecules
HMDB0034706	dodgerblue1	Lipids and lipid-like molecules
HMDB0034927	deeppink1	Lipids and lipid-like molecules
HMDB0036298	lightcoral	Lipids and lipid-like molecules
HMDB0039753	cornflowerblue	Lipids and lipid-like molecules
C11228	floralwhite	Lipids and lipid-like molecules
C14383	violetred4	Lipids and lipid-like molecules
HMDB0002720	goldenrod4	Lipids and lipid-like molecules
HMDB0012941	indianred2	Lipids and lipid-like molecules
HMDB0014729	darkorange	Lipids and lipid-like molecules
HMDB0034341	sienna4	Lipids and lipid-like molecules
HMDB0034342	plum3	Lipids and lipid-like molecules
HMDB0039695	lightsteelblue1	Lipids and lipid-like molecules
C12695	firebrick4	Lipids and lipid-like molecules
HMDB0014433	honeydew1	Lipids and lipid-like molecules
C07553	grey60	Lipids and lipid-like molecules
HMDB0029313	whitesmoke	Lipids and lipid-like molecules
HMDB0030010	deeppink1	Lipids and lipid-like molecules
HMDB0030142	chocolate	Lipids and lipid-like molecules
HMDB0032685	chocolate4	Lipids and lipid-like molecules
HMDB0032828	tomato4	Lipids and lipid-like molecules
HMDB0032834	coral1	Lipids and lipid-like molecules
HMDB0033085	lightskyblue4	Lipids and lipid-like molecules
HMDB0033424	cyan	Lipids and lipid-like molecules
HMDB0033572	antiquewhite1	Lipids and lipid-like molecules
HMDB0033573	dodgerblue1	Lipids and lipid-like molecules
HMDB0033728	dodgerblue1	Lipids and lipid-like molecules
HMDB0033846	lightsteelblue	Lipids and lipid-like molecules
HMDB0033899	dodgerblue1	Lipids and lipid-like molecules
HMDB0033907	goldenrod4	Lipids and lipid-like molecules
HMDB0034057	whitesmoke	Lipids and lipid-like molecules
HMDB0034086	cyan4	Lipids and lipid-like molecules
HMDB0034200	lightpink2	Lipids and lipid-like molecules
HMDB0034201	chocolate2	Lipids and lipid-like molecules
HMDB0034321	black	Lipids and lipid-like molecules
HMDB0034339	lightblue4	Lipids and lipid-like molecules
HMDB0034361	honeydew1	Lipids and lipid-like molecules
HMDB0034362	dodgerblue1	Lipids and lipid-like molecules
HMDB0035771	green	Lipids and lipid-like molecules
HMDB0035860	palevioletred	Lipids and lipid-like molecules
HMDB0035863	lightyellow	Lipids and lipid-like molecules
HMDB0036946	purple2	Lipids and lipid-like molecules
HMDB0037379	dodgerblue1	Lipids and lipid-like molecules
HMDB0038535	darkgreen	Lipids and lipid-like molecules
HMDB0039693	chocolate	Lipids and lipid-like molecules
HMDB0039694	dodgerblue1	Lipids and lipid-like molecules
HMDB0040671	skyblue	Lipids and lipid-like molecules
HMDB0041879	darkgreen	Lipids and lipid-like molecules
HMDB0060818	whitesmoke	Lipids and lipid-like molecules
HMDB0034102	lightgreen	Lipids and lipid-like molecules
C11131	dodgerblue1	Lipids and lipid-like molecules
C17544	dodgerblue1	Lipids and lipid-like molecules
HMDB0002579	steelblue	Lipids and lipid-like molecules
HMDB0004482	firebrick4	Lipids and lipid-like molecules
HMDB0029312	dodgerblue1	Lipids and lipid-like molecules
HMDB0029321	green2	Lipids and lipid-like molecules
HMDB0029769	dodgerblue1	Lipids and lipid-like molecules
HMDB0030321	pink3	Lipids and lipid-like molecules
HMDB0030535	dodgerblue1	Lipids and lipid-like molecules
HMDB0030902	firebrick4	Lipids and lipid-like molecules
HMDB0031364	mediumpurple1	Lipids and lipid-like molecules
HMDB0031838	magenta2	Lipids and lipid-like molecules
HMDB0031881	navajowhite2	Lipids and lipid-like molecules
HMDB0032002	lavenderblush3	Lipids and lipid-like molecules
HMDB0032692	darkolivegreen	Lipids and lipid-like molecules
HMDB0033401	deepskyblue3	Lipids and lipid-like molecules
HMDB0034063	lightblue3	Lipids and lipid-like molecules
HMDB0034083	darkolivegreen	Lipids and lipid-like molecules
HMDB0034091	green3	Lipids and lipid-like molecules
HMDB0034194	honeydew	Lipids and lipid-like molecules
HMDB0034202	dodgerblue1	Lipids and lipid-like molecules
HMDB0034309	mediumpurple1	Lipids and lipid-like molecules
HMDB0034327	dodgerblue1	Lipids and lipid-like molecules
HMDB0034337	cyan	Lipids and lipid-like molecules
HMDB0034357	firebrick3	Lipids and lipid-like molecules
HMDB0034375	skyblue4	Lipids and lipid-like molecules
HMDB0034595	darkseagreen3	Lipids and lipid-like molecules
HMDB0034599	dodgerblue1	Lipids and lipid-like molecules
HMDB0034601	dodgerblue1	Lipids and lipid-like molecules
HMDB0034603	lightslateblue	Lipids and lipid-like molecules
HMDB0035169	skyblue	Lipids and lipid-like molecules
HMDB0035344	skyblue4	Lipids and lipid-like molecules
HMDB0035346	darkgreen	Lipids and lipid-like molecules
HMDB0035424	floralwhite	Lipids and lipid-like molecules
HMDB0035433	coral1	Lipids and lipid-like molecules
HMDB0035507	chocolate4	Lipids and lipid-like molecules
HMDB0035697	green4	Lipids and lipid-like molecules
HMDB0035727	yellow3	Lipids and lipid-like molecules
HMDB0035892	whitesmoke	Lipids and lipid-like molecules
HMDB0035905	dodgerblue1	Lipids and lipid-like molecules
HMDB0035981	whitesmoke	Lipids and lipid-like molecules
HMDB0035982	floralwhite	Lipids and lipid-like molecules
HMDB0036297	dodgerblue1	Lipids and lipid-like molecules
HMDB0036338	orange3	Lipids and lipid-like molecules
HMDB0036484	mediumorchid2	Lipids and lipid-like molecules
HMDB0036567	darkorange2	Lipids and lipid-like molecules
HMDB0037123	whitesmoke	Lipids and lipid-like molecules
HMDB0038345	lightpink3	Lipids and lipid-like molecules
HMDB0038348	lightskyblue3	Lipids and lipid-like molecules
HMDB0038349	lightpink2	Lipids and lipid-like molecules
HMDB0038350	brown3	Lipids and lipid-like molecules
HMDB0038383	black	Lipids and lipid-like molecules
HMDB0039003	magenta1	Lipids and lipid-like molecules
HMDB0039007	purple	Lipids and lipid-like molecules
HMDB0039051	dodgerblue1	Lipids and lipid-like molecules
HMDB0039054	dodgerblue1	Lipids and lipid-like molecules
HMDB0039353	deepskyblue3	Lipids and lipid-like molecules
HMDB0039514	darkorange2	Lipids and lipid-like molecules
HMDB0039645	dodgerblue1	Lipids and lipid-like molecules
HMDB0040399	darkgreen	Lipids and lipid-like molecules
HMDB0040401	honeydew1	Lipids and lipid-like molecules
HMDB0040665	dodgerblue1	Lipids and lipid-like molecules
HMDB0040950	firebrick4	Lipids and lipid-like molecules
HMDB0041331	bisque1	Lipids and lipid-like molecules
HMDB0041342	magenta2	Lipids and lipid-like molecules
HMDB0041343	magenta2	Lipids and lipid-like molecules
HMDB0041344	darkgreen	Lipids and lipid-like molecules
HMDB0041528	purple	Lipids and lipid-like molecules
HMDB0029767	greenyellow	Lipids and lipid-like molecules
HMDB0033887	green4	Lipids and lipid-like molecules
HMDB0034553	chartreuse2	Lipids and lipid-like molecules
C04555	salmon	Lipids and lipid-like molecules
HMDB0002504	navajowhite2	Lipids and lipid-like molecules
HMDB0060584	steelblue	Lipids and lipid-like molecules
HMDB0060848	pink1	Lipids and lipid-like molecules
HMDB0062544	salmon	Lipids and lipid-like molecules
HMDB0062611	pink3	Lipids and lipid-like molecules
HMDB0094682	lavenderblush	Lipids and lipid-like molecules
C16762	magenta2	Others
C16886	skyblue3	Others
C16887	black	Others
C20001	dodgerblue1	Others
C20003	salmon	Others
C20004	palevioletred1	Others
C20007	firebrick4	Others
C01945	darkgreen	Others
C16871	darkseagreen3	Others
C16839	chocolate3	Others
C16857	firebrick4	Others
C20015	chocolate4	Others
C20024	green	Others
C11692	mediumpurple4	Others
C20026	mistyrose	Others
C20021	dodgerblue1	Others
C20018	lightsteelblue1	Others
C20019	tan1	Others
C15226	green4	Others
HMDB0001312	dodgerblue1	Nucleosides, nucleotides, and analogues
HMDB0001501	royalblue4	Nucleosides, nucleotides, and analogues
C04392	lightslateblue	Nucleosides, nucleotides, and analogues
C06198	magenta2	Nucleosides, nucleotides, and analogues
C20190	orange4	Nucleosides, nucleotides, and analogues
HMDB0001380	greenyellow	Nucleosides, nucleotides, and analogues
HMDB0001472	black	Nucleosides, nucleotides, and analogues
C00170	salmon	Nucleosides, nucleotides, and analogues
C01137	mistyrose	Nucleosides, nucleotides, and analogues
HMDB0001185	aliceblue	Nucleosides, nucleotides, and analogues
C12739	firebrick1	Nucleosides, nucleotides, and analogues
C00016	snow	Nucleosides, nucleotides, and analogues
C03838	whitesmoke	Nucleosides, nucleotides, and analogues
HMDB0041934	green	Nucleosides, nucleotides, and analogues
C05131	white	Nucleosides, nucleotides, and analogues
C02067	whitesmoke	Nucleosides, nucleotides, and analogues
C01762	plum2	Nucleosides, nucleotides, and analogues
HMDB0000912	darkred	Nucleosides, nucleotides, and analogues
HMDB0001563	black	Nucleosides, nucleotides, and analogues
HMDB0005862	tan1	Nucleosides, nucleotides, and analogues
HMDB0029956	darkseagreen4	Nucleosides, nucleotides, and analogues
HMDB0032880	purple2	Nucleosides, nucleotides, and analogues
HMDB0060792	mistyrose2	Nucleosides, nucleotides, and analogues
C00360	springgreen3	Nucleosides, nucleotides, and analogues
C00361	whitesmoke	Nucleosides, nucleotides, and analogues
C00362	mistyrose4	Nucleosides, nucleotides, and analogues
C06196	dodgerblue1	Nucleosides, nucleotides, and analogues
HMDB0011670	sienna2	Nucleosides, nucleotides, and analogues
C00498	sienna2	Nucleosides, nucleotides, and analogues
HMDB0039421	mistyrose2	Nucleosides, nucleotides, and analogues
C00224	darkgreen	Nucleosides, nucleotides, and analogues
C00655	magenta2	Nucleosides, nucleotides, and analogues
C00700	mistyrose2	Nucleosides, nucleotides, and analogues
C04494	indianred4	Nucleosides, nucleotides, and analogues
C05696	antiquewhite1	Nucleosides, nucleotides, and analogues
C05983	plum2	Nucleosides, nucleotides, and analogues
C16616	sienna2	Nucleosides, nucleotides, and analogues
HMDB0004220	darkseagreen4	Nucleosides, nucleotides, and analogues
HMDB0060875	tan4	Nucleosides, nucleotides, and analogues
HMDB0000481	darkturquoise	Nucleosides, nucleotides, and analogues
C00299	firebrick1	Nucleosides, nucleotides, and analogues
C02961	mistyrose	Nucleosides, nucleotides, and analogues
C16633	magenta2	Nucleosides, nucleotides, and analogues
HMDB0000982	mistyrose	Nucleosides, nucleotides, and analogues
HMDB0004813	brown4	Nucleosides, nucleotides, and analogues
HMDB0005923	darkmagenta	Nucleosides, nucleotides, and analogues
HMDB0060751	lightgreen	Nucleosides, nucleotides, and analogues
C00214	white	Nucleosides, nucleotides, and analogues
C00526	rosybrown4	Nucleosides, nucleotides, and analogues
C00881	royalblue	Nucleosides, nucleotides, and analogues
HMDB0014394	deeppink1	Nucleosides, nucleotides, and analogues
HMDB0014576	darkviolet	Nucleosides, nucleotides, and analogues
HMDB0042036	darkviolet	Nucleosides, nucleotides, and analogues
HMDB0060774	lightskyblue4	Nucleosides, nucleotides, and analogues
C00239	indianred3	Nucleosides, nucleotides, and analogues
C00364	whitesmoke	Nucleosides, nucleotides, and analogues
C00460	bisque	Nucleosides, nucleotides, and analogues
C01346	whitesmoke	Nucleosides, nucleotides, and analogues
C00128	indianred2	Nucleosides, nucleotides, and analogues
HMDB0011720	mistyrose2	Nucleosides, nucleotides, and analogues
HMDB0012222	white	Nucleosides, nucleotides, and analogues
C00055	sienna2	Nucleosides, nucleotides, and analogues
C00105	whitesmoke	Nucleosides, nucleotides, and analogues
C00307	ivory	Nucleosides, nucleotides, and analogues
C00570	darkorchid1	Nucleosides, nucleotides, and analogues
C16634	whitesmoke	Nucleosides, nucleotides, and analogues
HMDB0012206	royalblue4	Nucleosides, nucleotides, and analogues
HMDB0011596	lightpink4	Nucleosides, nucleotides, and analogues
C01367	sienna2	Nucleosides, nucleotides, and analogues
C00127	darkseagreen1	Unclassified
C00180	antiquewhite3	Unclassified
C00220	antiquewhite3	Unclassified
C00225	dodgerblue1	Unclassified
C00303	lightpink	Unclassified
C00494	royalblue	Unclassified
C00528	lightcyan1	Unclassified
C00545	royalblue2	Unclassified
C00556	lavender	Unclassified
C00563	navajowhite3	Unclassified
C00593	plum2	Unclassified
C00711	antiquewhite3	Unclassified
C00732	paleturquoise	Unclassified
C00825	mistyrose	Unclassified
C00908	dodgerblue1	Unclassified
C00915	olivedrab2	Unclassified
C00939	ivory	Unclassified
C00982	cyan	Unclassified
C01007	olivedrab4	Unclassified
C01023	skyblue4	Unclassified
C01077	mistyrose2	Unclassified
C01100	goldenrod3	Unclassified
C01109	blue1	Unclassified
C01266	lavenderblush2	Unclassified
C01285	whitesmoke	Unclassified
C01302	coral1	Unclassified
C01313	khaki2	Unclassified
C01315	lightpink4	Unclassified
C01316	coral2	Unclassified
C01341	moccasin	Unclassified
C01348	greenyellow	Unclassified
C01359	steelblue	Unclassified
C01445	whitesmoke	Unclassified
C01449	lightblue4	Unclassified
C01505	mediumpurple1	Unclassified
C01550	dodgerblue1	Unclassified
C01552	palevioletred1	Unclassified
C01555	cornflowerblue	Unclassified
C01564	mistyrose2	Unclassified
C01567	dodgerblue1	Unclassified
C01582	cornflowerblue	Unclassified
C01593	dodgerblue1	Unclassified
C01596	darkseagreen1	Unclassified
C01616	darkred	Unclassified
C01621	royalblue	Unclassified
C01670	red4	Unclassified
C01677	seashell4	Unclassified
C01682	mistyrose	Unclassified
C01700	lightblue3	Unclassified
C01727	whitesmoke	Unclassified
C01740	whitesmoke	Unclassified
C01746	mistyrose2	Unclassified
C01747	paleturquoise	Unclassified
C01782	slateblue3	Unclassified
C01833	aquamarine	Unclassified
C01861	whitesmoke	Unclassified
C01925	forestgreen	Unclassified
C01964	lightpink	Unclassified
C02010	lightpink4	Unclassified
C02081	lightblue1	Unclassified
C02084	green	Unclassified
C02130	dodgerblue1	Unclassified
C02138	brown2	Unclassified
C02195	dodgerblue1	Unclassified
C02202	mistyrose2	Unclassified
C02203	sienna4	Unclassified
C02267	tan3	Unclassified
C02328	snow	Unclassified
C02334	dodgerblue1	Unclassified
C02366	slateblue3	Unclassified
C02400	mediumorchid2	Unclassified
C02431	whitesmoke	Unclassified
C02463	navajowhite3	Unclassified
C02487	dodgerblue1	Unclassified
C02590	paleturquoise	Unclassified
C02691	royalblue3	Unclassified
C02725	chocolate	Unclassified
C02734	grey60	Unclassified
C02750	whitesmoke	Unclassified
C02755	darkseagreen2	Unclassified
C02796	blanchedalmond	Unclassified
C02798	dodgerblue1	Unclassified
C02802	darkviolet	Unclassified
C02828	dodgerblue1	Unclassified
C02852	lightskyblue4	Unclassified
C02886	mistyrose	Unclassified
C02899	dodgerblue1	Unclassified
C02957	brown2	Unclassified
C03001	lightcyan1	Unclassified
C03010	dodgerblue1	Unclassified
C03076	orangered1	Unclassified
C03112	indianred1	Unclassified
C03149	rosybrown4	Unclassified
C03154	darkorange	Unclassified
C03183	seashell1	Unclassified
C03230	green	Unclassified
C03246	antiquewhite2	Unclassified
C03274	cornflowerblue	Unclassified
C03281	whitesmoke	Unclassified
C03326	dodgerblue1	Unclassified
C03347	indianred4	Unclassified
C03387	darkgoldenrod1	Unclassified
C03411	snow	Unclassified
C03431	whitesmoke	Unclassified
C03495	seashell4	Unclassified
C03516	tan4	Unclassified
C03651	dodgerblue1	Unclassified
C03712	lightsteelblue1	Unclassified
C03725	whitesmoke	Unclassified
C03733	darkorchid1	Unclassified
C03755	dodgerblue1	Unclassified
C03822	darkmagenta	Unclassified
C03860	darkseagreen3	Unclassified
C03885	orangered1	Unclassified
C03887	chartreuse3	Unclassified
C03925	whitesmoke	Unclassified
C03943	blue1	Unclassified
C03987	dodgerblue4	Unclassified
C03996	tan3	Unclassified
C04020	lightgoldenrod2	Unclassified
C04078	lightcyan1	Unclassified
C04137	pink1	Unclassified
C04178	dodgerblue1	Unclassified
C04197	mediumorchid	Unclassified
C04204	darkseagreen	Unclassified
C04259	dodgerblue1	Unclassified
C04277	violetred2	Unclassified
C04285	lightblue	Unclassified
C04286	darkred	Unclassified
C04303	whitesmoke	Unclassified
C04318	dodgerblue1	Unclassified
C04421	antiquewhite4	Unclassified
C04425	honeydew1	Unclassified
C04428	white	Unclassified
C04445	magenta2	Unclassified
C04452	royalblue	Unclassified
C04454	brown4	Unclassified
C04536	darksalmon	Unclassified
C04572	whitesmoke	Unclassified
C04580	green	Unclassified
C04611	whitesmoke	Unclassified
C04639	mistyrose4	Unclassified
C04660	greenyellow	Unclassified
C04691	darkmagenta	Unclassified
C04702	orange4	Unclassified
C04752	lightskyblue4	Unclassified
C04804	whitesmoke	Unclassified
C04811	green2	Unclassified
C04832	indianred4	Unclassified
C04875	dodgerblue1	Unclassified
C04876	dodgerblue1	Unclassified
C04923	thistle	Unclassified
C04931	indianred	Unclassified
C05073	whitesmoke	Unclassified
C05324	rosybrown2	Unclassified
C05328	dodgerblue1	Unclassified
C05346	mistyrose2	Unclassified
C05370	darkseagreen3	Unclassified
C05516	dodgerblue4	Unclassified
C05556	rosybrown2	Unclassified
C05571	indianred2	Unclassified
C05589	lightgreen	Unclassified
C05646	moccasin	Unclassified
C05648	skyblue3	Unclassified
C05680	burlywood1	Unclassified
C05705	whitesmoke	Unclassified
C05730	dodgerblue1	Unclassified
C05765	limegreen	Unclassified
C05778	floralwhite	Unclassified
C05793	magenta2	Unclassified
C05794	orange1	Unclassified
C05810	dodgerblue1	Unclassified
C05856	dodgerblue1	Unclassified
C05929	navajowhite2	Unclassified
C05931	lightskyblue	Unclassified
C05941	lavender	Unclassified
C06189	lightcyan1	Unclassified
C06193	mistyrose4	Unclassified
C06217	peru	Unclassified
C06218	coral1	Unclassified
C06228	dodgerblue1	Unclassified
C06229	paleturquoise	Unclassified
C06231	mistyrose	Unclassified
C06319	lightslateblue	Unclassified
C06335	antiquewhite1	Unclassified
C06342	orangered4	Unclassified
C06344	mistyrose2	Unclassified
C06381	dodgerblue4	Unclassified
C06433	lightsteelblue1	Unclassified
C06436	whitesmoke	Unclassified
C06446	cornsilk2	Unclassified
C06492	dodgerblue1	Unclassified
C06494	darkred	Unclassified
C06496	dodgerblue1	Unclassified
C06497	magenta2	Unclassified
C06515	honeydew1	Unclassified
C06565	dodgerblue3	Unclassified
C06585	lightsteelblue	Unclassified
C06640	lightblue2	Unclassified
C06643	green	Unclassified
C06644	dodgerblue1	Unclassified
C06645	tomato	Unclassified
C06650	maroon	Unclassified
C06655	dodgerblue1	Unclassified
C06659	lavenderblush1	Unclassified
C06667	dodgerblue1	Unclassified
C06668	sienna4	Unclassified
C06676	darkturquoise	Unclassified
C06696	darkorange	Unclassified
C06718	mediumpurple1	Unclassified
C06769	palevioletred	Unclassified
C06785	plum2	Unclassified
C06830	navajowhite2	Unclassified
C06853	darkcyan	Unclassified
C06870	mistyrose	Unclassified
C06888	whitesmoke	Unclassified
C06917	mediumorchid	Unclassified
C06944	cyan4	Unclassified
C07006	royalblue2	Unclassified
C07016	pink3	Unclassified
C07024	whitesmoke	Unclassified
C07031	navajowhite3	Unclassified
C07032	dodgerblue1	Unclassified
C07088	indianred1	Unclassified
C07165	lightslateblue	Unclassified
C07222	navajowhite3	Unclassified
C07235	purple	Unclassified
C07351	whitesmoke	Unclassified
C07389	green	Unclassified
C07423	dodgerblue1	Unclassified
C07448	whitesmoke	Unclassified
C07465	burlywood4	Unclassified
C07466	skyblue	Unclassified
C07509	limegreen	Unclassified
C07540	dodgerblue1	Unclassified
C07577	rosybrown2	Unclassified
C07596	chocolate4	Unclassified
C07636	paleturquoise	Unclassified
C07638	mediumpurple2	Unclassified
C07642	whitesmoke	Unclassified
C07655	lightsteelblue1	Unclassified
C07657	seashell1	Unclassified
C07701	whitesmoke	Unclassified
C07707	violetred2	Unclassified
C07709	dodgerblue1	Unclassified
C07734	whitesmoke	Unclassified
C07740	dodgerblue1	Unclassified
C07756	honeydew	Unclassified
C07770	orange4	Unclassified
C07784	chocolate4	Unclassified
C07841	thistle4	Unclassified
C07843	lightblue2	Unclassified
C07853	mediumaquamarine	Unclassified
C07862	chartreuse4	Unclassified
C07865	mediumpurple2	Unclassified
C07871	green2	Unclassified
C07952	orangered4	Unclassified
C07955	pink3	Unclassified
C07956	burlywood	Unclassified
C07966	mediumorchid3	Unclassified
C07982	violetred	Unclassified
C07997	olivedrab2	Unclassified
C08033	mistyrose2	Unclassified
C08038	deeppink1	Unclassified
C08054	black	Unclassified
C08059	magenta2	Unclassified
C08074	salmon4	Unclassified
C08089	lightblue2	Unclassified
C08129	whitesmoke	Unclassified
C08161	antiquewhite2	Unclassified
C08175	lightblue2	Unclassified
C08178	chocolate3	Unclassified
C08184	antiquewhite4	Unclassified
C08185	chocolate2	Unclassified
C08193	maroon	Unclassified
C08212	antiquewhite2	Unclassified
C08217	darkorange	Unclassified
C08248	hotpink4	Unclassified
C08249	greenyellow	Unclassified
C08294	indianred4	Unclassified
C08341	white	Unclassified
C08372	whitesmoke	Unclassified
C08430	lightyellow	Unclassified
C08432	darkturquoise	Unclassified
C08437	sienna4	Unclassified
C08440	lightpink4	Unclassified
C08442	cyan	Unclassified
C08474	whitesmoke	Unclassified
C08483	whitesmoke	Unclassified
C08504	royalblue	Unclassified
C08686	chocolate1	Unclassified
C08734	ivory	Unclassified
C08979	lightyellow	Unclassified
C09007	hotpink3	Unclassified
C09038	honeydew1	Unclassified
C09050	dodgerblue1	Unclassified
C09052	maroon	Unclassified
C09100	darkseagreen3	Unclassified
C09106	cornflowerblue	Unclassified
C09130	magenta2	Unclassified
C09193	darkseagreen	Unclassified
C09195	thistle	Unclassified
C09200	dodgerblue1	Unclassified
C09208	mediumorchid4	Unclassified
C09221	whitesmoke	Unclassified
C09247	whitesmoke	Unclassified
C09249	turquoise4	Unclassified
C09252	dodgerblue1	Unclassified
C09329	black	Unclassified
C09418	floralwhite	Unclassified
C09565	dodgerblue1	Unclassified
C09634	darkolivegreen	Unclassified
C09669	deepskyblue	Unclassified
C09716	paleturquoise	Unclassified
C09746	skyblue4	Unclassified
C09851	dodgerblue1	Unclassified
C09940	aquamarine1	Unclassified
C09941	magenta2	Unclassified
C09946	rosybrown2	Unclassified
C09948	mistyrose2	Unclassified
C09968	dodgerblue1	Unclassified
C09984	royalblue	Unclassified
C09985	antiquewhite1	Unclassified
C09992	mistyrose2	Unclassified
C09995	magenta2	Unclassified
C09996	darkmagenta	Unclassified
C09997	dodgerblue1	Unclassified
C10001	darkgreen	Unclassified
C10004	dodgerblue1	Unclassified
C10006	dodgerblue1	Unclassified
C10007	magenta2	Unclassified
C10008	dodgerblue1	Unclassified
C10014	lightpink2	Unclassified
C10015	dodgerblue1	Unclassified
C10085	brown2	Unclassified
C10133	honeydew1	Unclassified
C10318	purple	Unclassified
C10352	whitesmoke	Unclassified
C10355	coral1	Unclassified
C10386	chartreuse4	Unclassified
C10458	lightblue1	Unclassified
C10481	lavenderblush2	Unclassified
C10564	lavenderblush3	Unclassified
C10565	mistyrose	Unclassified
C10582	dodgerblue1	Unclassified
C10603	bisque	Unclassified
C10605	snow	Unclassified
C10623	rosybrown2	Unclassified
C10715	lavenderblush	Unclassified
C10855	slateblue4	Unclassified
C10895	lightblue2	Unclassified
C10913	navajowhite2	Unclassified
C10917	purple	Unclassified
C10918	dodgerblue1	Unclassified
C10922	whitesmoke	Unclassified
C10926	lightgreen	Unclassified
C10927	plum2	Unclassified
C10929	dodgerblue1	Unclassified
C10932	mediumpurple4	Unclassified
C10937	whitesmoke	Unclassified
C10939	tan3	Unclassified
C10942	mediumorchid1	Unclassified
C10948	purple	Unclassified
C10950	antiquewhite3	Unclassified
C10955	lightpink4	Unclassified
C10956	whitesmoke	Unclassified
C10967	tan2	Unclassified
C10977	rosybrown4	Unclassified
C10982	indianred3	Unclassified
C10986	darksalmon	Unclassified
C10987	orange4	Unclassified
C10992	slateblue3	Unclassified
C10993	white	Unclassified
C10994	deepskyblue4	Unclassified
C10999	lightsteelblue	Unclassified
C11007	slateblue3	Unclassified
C11019	lightblue2	Unclassified
C11023	brown2	Unclassified
C11024	seashell4	Unclassified
C11029	lightsteelblue1	Unclassified
C11034	brown2	Unclassified
C11054	whitesmoke	Unclassified
C11055	purple	Unclassified
C11064	mistyrose2	Unclassified
C11068	whitesmoke	Unclassified
C11074	dodgerblue1	Unclassified
C11075	lavenderblush3	Unclassified
C11082	mistyrose	Unclassified
C11086	aliceblue	Unclassified
C11091	cyan	Unclassified
C11092	orange4	Unclassified
C11100	rosybrown2	Unclassified
C11112	whitesmoke	Unclassified
C11118	green	Unclassified
C11120	skyblue	Unclassified
C11122	mistyrose2	Unclassified
C11152	brown3	Unclassified
C11159	mediumpurple4	Unclassified
C11161	green	Unclassified
C11163	whitesmoke	Unclassified
C11166	whitesmoke	Unclassified
C11178	mistyrose2	Unclassified
C11189	antiquewhite4	Unclassified
C11190	lightsteelblue1	Unclassified
C11191	plum3	Unclassified
C11201	tan3	Unclassified
C11212	dodgerblue1	Unclassified
C11223	royalblue	Unclassified
C11229	peachpuff2	Unclassified
C11236	palevioletred	Unclassified
C11242	palevioletred1	Unclassified
C11255	whitesmoke	Unclassified
C11256	goldenrod4	Unclassified
C11273	orange3	Unclassified
C11282	deeppink1	Unclassified
C11293	purple	Unclassified
C11296	tomato4	Unclassified
C11299	darkseagreen4	Unclassified
C11302	olivedrab2	Unclassified
C11308	dodgerblue1	Unclassified
C11312	steelblue	Unclassified
C11316	skyblue3	Unclassified
C11319	whitesmoke	Unclassified
C11329	dodgerblue1	Unclassified
C11336	coral	Unclassified
C11341	skyblue4	Unclassified
C11342	tan2	Unclassified
C11352	whitesmoke	Unclassified
C11362	greenyellow	Unclassified
C11365	mistyrose2	Unclassified
C11375	dodgerblue1	Unclassified
C11434	peru	Unclassified
C11453	whitesmoke	Unclassified
C11466	indianred2	Unclassified
C11468	dodgerblue1	Unclassified
C11500	aliceblue	Unclassified
C11501	whitesmoke	Unclassified
C11536	orangered1	Unclassified
C11545	darkolivegreen	Unclassified
C11561	dodgerblue1	Unclassified
C11562	mediumorchid1	Unclassified
C11564	whitesmoke	Unclassified
C11568	tan3	Unclassified
C11582	magenta1	Unclassified
C11587	green2	Unclassified
C11588	black	Unclassified
C11593	lightsteelblue1	Unclassified
C11595	skyblue3	Unclassified
C11596	dodgerblue1	Unclassified
C11597	lavenderblush2	Unclassified
C11604	dodgerblue1	Unclassified
C11607	tan4	Unclassified
C11608	lightpink4	Unclassified
C11609	greenyellow	Unclassified
C11610	paleturquoise	Unclassified
C11611	salmon	Unclassified
C11622	steelblue	Unclassified
C11625	whitesmoke	Unclassified
C11654	whitesmoke	Unclassified
C11665	black	Unclassified
C11674	lightyellow	Unclassified
C11685	whitesmoke	Unclassified
C11709	salmon	Unclassified
C11712	magenta2	Unclassified
C11716	paleturquoise	Unclassified
